depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
5,19,0.01617574691772461,1,0.0,4.975,0.003547,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
8,30,0.024284839630126953,3,1.658,7.649,0.003372,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
14,83,0.04727506637573242,0,4.323,10.61,0.006263,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
15,86,0.06748533248901367,1,2.55,11.3,0.008392,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
30,197,0.09929180145263672,1,7.583,21.32,0.01219,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
39,222,0.14110898971557617,3,5.356,38.45,0.01019,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
36,188,0.12743091583251953,2,12.76,112.1,0.04498,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
43,208,0.13863706588745117,1,4.969,54.6,0.01702,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
45,247,0.19308924674987793,0,29.6,206.8,0.04105,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
41,242,0.14426302909851074,0,14.36,73.71,0.03087,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
67,450,0.2742908000946045,0,19.0,79.84,0.03016,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
50,313,0.20764899253845215,2,18.95,143.7,0.04288,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
50,335,0.22493886947631836,0,18.18,117.2,0.04965,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
59,369,0.3074531555175781,2,14.89,104.9,0.04653,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
66,448,0.37195277214050293,0,25.02,176.9,0.04216,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
108,698,0.4060041904449463,2,37.54,191.7,0.04585,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
80,509,0.3556361198425293,3,5.974,38.83,0.05382,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
