depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,8,0.007623910903930664,0,0.0,0.0,0.000923,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
2,18,0.012436866760253906,1,3.961,11.5,0.0009999,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
12,61,0.015153884887695312,0,7.071,24.6,0.01332,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
22,102,0.030939102172851562,1,10.92,28.8,0.002603,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
32,178,0.04587578773498535,1,3.317,17.41,0.002912,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
40,218,0.05530214309692383,2,8.031,31.46,0.004022,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
18,124,0.05235910415649414,1,18.46,43.21,0.005198,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
29,176,0.056136369705200195,1,19.41,64.84,0.007674,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
42,257,0.05854320526123047,3,15.28,44.45,0.006701,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
39,249,0.07463669776916504,0,17.34,77.29,0.007876,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
48,270,0.06794190406799316,2,26.24,74.73,0.00731,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
49,265,0.06649088859558105,1,37.17,90.81,0.009895,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
63,338,0.06858491897583008,2,30.61,80.78,0.00859,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
50,331,0.07975077629089355,3,9.341,16.07,0.004862,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
79,395,0.08292794227600098,1,38.33,139.4,0.0168,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
77,454,0.10486507415771484,0,42.3,130.2,0.01342,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
64,414,0.08052706718444824,2,5.262,7.036,0.001969,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
68,442,0.0939030647277832,2,11.34,22.05,0.004939,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
92,505,0.09726595878601074,3,4.437,7.348,0.001375,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
94,535,0.10972428321838379,3,41.66,152.4,0.0148,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
72,508,0.10022187232971191,0,11.25,28.01,0.01437,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
77,504,0.1129298210144043,0,37.27,181.9,0.0245,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
112,578,0.10747575759887695,3,70.83,218.6,0.02848,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
89,580,0.13257908821105957,3,52.92,177.9,0.0411,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
99,625,0.13898873329162598,2,11.92,17.1,0.01309,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
95,580,0.11005592346191406,1,11.34,28.09,0.01658,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
111,680,0.13072705268859863,2,12.02,58.57,0.02619,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
102,604,0.1455690860748291,1,8.613,21.25,0.01953,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
113,700,0.15098309516906738,2,22.17,59.22,0.0194,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
