depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
20,134,0.004893064498901367,2,5.761,8.617,0.000568,sabre_v0_20_,trivial_layout,0,1,1,1,1
48,280,0.009189128875732422,3,1.871,6.708,0.0003319,sabre_v0_20_,trivial_layout,0,1,1,1,1
62,443,0.01448202133178711,2,13.68,31.28,0.001408,sabre_v0_20_,trivial_layout,0,1,1,1,1
85,565,0.019316911697387695,3,15.82,50.51,0.00216,sabre_v0_20_,trivial_layout,0,1,1,1,1
106,725,0.023895740509033203,0,26.19,42.98,0.001863,sabre_v0_20_,trivial_layout,0,1,1,1,1
130,858,0.0271909236907959,1,19.69,30.91,0.001419,sabre_v0_20_,trivial_layout,0,1,1,1,1
139,952,0.029964923858642578,0,19.12,47.92,0.001306,sabre_v0_20_,trivial_layout,0,1,1,1,1
181,1139,0.0364072322845459,1,23.74,90.71,0.003849,sabre_v0_20_,trivial_layout,0,1,1,1,1
223,1375,0.04515409469604492,1,15.8,23.66,0.001188,sabre_v0_20_,trivial_layout,0,1,1,1,1
210,1413,0.047247886657714844,0,41.7,81.28,0.0031,sabre_v0_20_,trivial_layout,0,1,1,1,1
