depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
26,149,0.006075859069824219,0,0,0,0.000191,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
85,391,0.015302181243896484,0,0,0,0.0004876,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
78,479,0.021336078643798828,0,0,0,0.0001974,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
133,637,0.027135133743286133,0,0,0,0.0003573,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
147,815,0.03984785079956055,0,0,0,0.0004606,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
176,900,0.04027581214904785,0,0,0,0.0007464,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
250,1201,0.05078887939453125,0,0,0,0.000508,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
265,1424,0.06313920021057129,0,0,0,0.002866,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
315,1609,0.07723379135131836,0,0,0,0.001336,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
268,1503,0.06924009323120117,0,0,0,0.0006729,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
