depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,13,0.013775110244750977,1,1.732,5.196,0.00238,sabre_v0_20_,sabre_layout,0,1,1,1,3
6,27,0.022620201110839844,0,7.462,11.52,0.002404,sabre_v0_20_,sabre_layout,0,1,1,1,3
14,62,0.024214744567871094,1,2.947,11.1,0.004942,sabre_v0_20_,sabre_layout,0,1,1,1,3
13,77,0.049942970275878906,1,8.093,26.01,0.006916,sabre_v0_20_,sabre_layout,0,1,1,1,3
25,149,0.06424617767333984,0,5.673,18.05,0.007608,sabre_v0_20_,sabre_layout,0,1,1,1,3
40,249,0.09691500663757324,2,13.35,30.55,0.008369,sabre_v0_20_,sabre_layout,0,1,1,1,3
31,176,0.07227492332458496,2,12.93,52.24,0.01406,sabre_v0_20_,sabre_layout,0,1,1,1,3
39,181,0.07372117042541504,0,6.727,41.52,0.008079,sabre_v0_20_,sabre_layout,0,1,1,1,3
44,253,0.1229407787322998,2,20.62,89.31,0.02048,sabre_v0_20_,sabre_layout,0,1,1,1,3
43,233,0.08994078636169434,3,11.24,78.89,0.02173,sabre_v0_20_,sabre_layout,0,1,1,1,3
64,300,0.12420892715454102,2,39.92,140.9,0.02733,sabre_v0_20_,sabre_layout,0,1,1,1,3
49,325,0.18249893188476562,2,19.68,84.78,0.03095,sabre_v0_20_,sabre_layout,0,1,1,1,3
43,281,0.11083388328552246,0,18.23,83.74,0.02668,sabre_v0_20_,sabre_layout,0,1,1,1,3
56,333,0.156174898147583,0,18.89,69.6,0.02613,sabre_v0_20_,sabre_layout,0,1,1,1,3
148,907,0.31433796882629395,0,14.18,55.54,0.02577,sabre_v0_20_,sabre_layout,0,1,1,1,3
77,473,0.17119503021240234,2,6.647,30.62,0.01622,sabre_v0_20_,sabre_layout,0,1,1,1,3
87,527,0.23405075073242188,1,9.601,33.97,0.02049,sabre_v0_20_,sabre_layout,0,1,1,1,3
96,493,0.19878077507019043,1,21.03,147.4,0.04537,sabre_v0_20_,sabre_layout,0,1,1,1,3
76,486,0.2896308898925781,0,16.2,27.82,0.03813,sabre_v0_20_,sabre_layout,0,1,1,1,3
105,573,0.20571589469909668,3,70.68,310.3,0.05038,sabre_v0_20_,sabre_layout,0,1,1,1,3
100,574,0.2245340347290039,0,16.15,36.34,0.04887,sabre_v0_20_,sabre_layout,0,1,1,1,3
94,618,0.24958300590515137,2,27.83,45.82,0.01585,sabre_v0_20_,sabre_layout,0,1,1,1,3
110,621,0.28027796745300293,1,27.7,113.7,0.0172,sabre_v0_20_,sabre_layout,0,1,1,1,3
115,662,0.24212884902954102,1,47.52,132.1,0.06408,sabre_v0_20_,sabre_layout,0,1,1,1,3
136,799,0.25119996070861816,1,38.98,156.2,0.06622,sabre_v0_20_,sabre_layout,0,1,1,1,3
145,807,0.2970879077911377,3,11.01,38.04,0.02573,sabre_v0_20_,sabre_layout,0,1,1,1,3
130,785,0.27228689193725586,0,38.51,114.6,0.01624,sabre_v0_20_,sabre_layout,0,1,1,1,3
150,820,0.28975415229797363,0,7.084,47.97,0.01652,sabre_v0_20_,sabre_layout,0,1,1,1,3
141,872,0.31886792182922363,0,6.946,25.04,0.03392,sabre_v0_20_,sabre_layout,0,1,1,1,3
118,806,0.41604185104370117,0,92.46,404.5,0.07101,sabre_v0_20_,sabre_layout,0,1,1,1,3
