depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
5,25,0.018535852432250977,0,2.598,4.975,0.002755,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
6,33,0.022750139236450195,3,3.0,12.55,0.00422,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
12,62,0.0263669490814209,1,1.299,6.364,0.005469,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
18,95,0.04167795181274414,3,2.598,6.708,0.007866,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
21,116,0.0673379898071289,3,9.337,70.52,0.02133,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
49,267,0.13045620918273926,3,4.183,34.53,0.01328,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
41,251,0.10500788688659668,0,6.671,34.37,0.007182,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
33,214,0.12386298179626465,1,9.708,61.28,0.01217,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
58,268,0.1300349235534668,0,21.18,155.9,0.04512,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
42,239,0.16118597984313965,0,13.07,88.28,0.01886,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
64,420,0.24764180183410645,1,17.98,122.7,0.03036,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
61,370,0.15555620193481445,3,27.11,178.1,0.04328,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
88,545,0.25161194801330566,1,13.68,137.4,0.03085,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
103,726,0.2683756351470947,1,15.8,55.03,0.01428,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
83,463,0.18858098983764648,1,42.86,289.0,0.07111,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
81,503,0.2627229690551758,3,38.8,141.0,0.03361,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
85,521,0.32230210304260254,0,37.56,250.9,0.06198,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
83,514,0.24644899368286133,0,11.86,29.74,0.04735,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
85,543,0.22751688957214355,1,41.2,266.3,0.06495,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
96,612,0.30611109733581543,1,49.2,258.1,0.06015,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
84,592,0.26567816734313965,3,12.56,40.27,0.01703,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
131,690,0.357802152633667,1,29.89,228.3,0.05705,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
110,735,0.35814499855041504,0,14.25,57.68,0.02973,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
132,758,0.3188209533691406,3,42.38,330.4,0.04419,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
129,871,0.41155171394348145,2,15.47,41.87,0.02466,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
130,762,0.35016608238220215,1,10.64,72.7,0.0379,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
139,923,0.3815617561340332,2,69.09,330.7,0.09004,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
154,1021,0.39943504333496094,1,11.03,63.01,0.07937,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
134,923,0.6374380588531494,0,46.64,279.4,0.1141,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
131,854,0.48110008239746094,3,19.63,112.5,0.03376,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
175,1170,0.4550328254699707,1,5.362,24.92,0.0242,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
151,964,0.5589218139648438,3,73.53,514.3,0.1436,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
169,1031,0.43252086639404297,0,42.59,361.5,0.08378,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
146,913,0.38136792182922363,2,64.46,420.8,0.07281,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
198,1187,0.4986279010772705,0,43.83,238.1,0.03922,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
201,1349,0.5478291511535645,2,41.07,205.0,0.03162,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
183,1136,0.6244699954986572,2,104.8,609.4,0.07139,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
224,1379,0.6621439456939697,1,22.59,69.58,0.07266,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
179,1192,0.524604082107544,1,56.06,246.4,0.02427,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
209,1377,0.5755720138549805,1,12.21,58.38,0.03101,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
241,1319,0.6665840148925781,2,42.01,399.2,0.1168,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
225,1394,0.745466947555542,3,69.81,437.3,0.04409,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
228,1528,0.7164437770843506,1,40.78,154.1,0.09425,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
234,1502,0.7092370986938477,0,58.94,323.1,0.09334,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
250,1608,0.7549419403076172,2,98.3,544.4,0.07599,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
215,1397,0.6436009407043457,2,18.85,97.1,0.08146,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
235,1525,0.7783198356628418,0,27.14,82.39,0.1666,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
258,1646,0.9875099658966064,0,37.7,141.3,0.1314,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
266,1612,0.6397678852081299,2,22.57,168.5,0.08133,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
257,1591,0.6381559371948242,2,70.18,576.7,0.07053,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
289,1730,0.746269941329956,0,55.81,350.6,0.1234,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
288,1784,0.7526559829711914,2,33.8,199.1,0.0984,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
242,1694,0.731281042098999,1,49.59,172.6,0.03233,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
252,1647,0.9080281257629395,2,39.65,171.7,0.09882,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
271,1748,0.7565429210662842,0,77.31,348.6,0.09099,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
287,1876,0.8472251892089844,3,23.02,116.7,0.05188,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
266,1694,0.7648341655731201,3,52.05,149.0,0.05385,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
298,2006,0.9694900512695312,1,109.0,627.9,0.1196,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
316,1997,0.9368882179260254,1,59.01,336.4,0.06969,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
305,1824,0.7691559791564941,0,21.36,137.3,0.05666,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
320,1963,0.9075288772583008,0,22.86,88.14,0.1744,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
300,1970,1.0614759922027588,1,108.7,703.0,0.08398,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
332,2141,1.1245779991149902,0,29.35,92.09,0.08237,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
327,2146,0.8800909519195557,1,66.27,388.9,0.1135,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
358,2336,1.163470983505249,1,20.28,48.85,0.0952,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
349,2201,0.9548659324645996,1,60.05,326.7,0.09469,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
393,2480,1.0433189868927002,2,63.65,420.8,0.1188,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
332,2140,1.0589051246643066,0,27.87,187.1,0.05489,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
406,2425,1.1877009868621826,3,5.761,57.71,0.05394,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
314,1993,1.0151340961456299,3,40.82,222.0,0.03482,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
398,2662,1.1725871562957764,0,40.39,183.7,0.1637,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
408,2591,1.275691032409668,1,45.03,189.5,0.1022,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
352,2318,0.9419081211090088,1,62.57,228.8,0.1441,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
387,2479,1.1346940994262695,0,24.54,81.65,0.07991,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
378,2362,1.1152901649475098,3,120.6,680.7,0.1589,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
412,2530,1.2554869651794434,1,24.45,161.2,0.09037,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
486,2899,1.0422368049621582,0,52.12,387.4,0.02698,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
494,2881,1.167578935623169,2,97.48,630.8,0.147,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
430,2751,1.2241339683532715,0,23.6,92.98,0.09596,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
402,2610,1.4521369934082031,1,27.98,162.0,0.1003,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
429,2712,1.1533751487731934,3,36.4,176.5,0.1663,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
462,2914,1.4065020084381104,2,28.01,164.0,0.09076,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
463,2891,1.2954506874084473,0,31.88,272.1,0.1308,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
414,2750,1.252580165863037,0,48.03,202.8,0.04583,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
440,2843,1.451890230178833,3,38.69,242.5,0.1363,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
481,3033,1.2964160442352295,3,64.51,389.8,0.0703,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
487,3053,1.2422420978546143,3,25.71,197.8,0.06546,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
495,3176,1.287060022354126,2,37.4,172.4,0.09147,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
505,3399,1.7601656913757324,2,42.09,159.3,0.07938,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
472,3115,1.4410319328308105,3,48.72,219.1,0.1474,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
461,2992,1.2252321243286133,2,115.7,654.5,0.09017,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
455,3053,1.503108263015747,0,32.21,161.8,0.1145,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
483,3104,1.4598259925842285,2,125.2,809.1,0.1833,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
494,3221,1.5432510375976562,0,70.18,350.8,0.02855,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
509,3352,1.4527020454406738,1,39.23,241.2,0.08606,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
446,2893,1.3671939373016357,0,80.2,358.9,0.0473,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
534,3574,1.5572290420532227,3,33.39,148.3,0.2019,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
604,3691,1.6369290351867676,2,67.55,570.2,0.05832,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
468,3108,1.6678037643432617,3,57.05,335.4,0.03922,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
510,3363,1.616955041885376,1,197.1,939.3,0.08857,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
