depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
5,25,0.0210418701171875,0,2.598,4.975,0.00351,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
6,33,0.029690027236938477,3,2.487,7.155,0.004007,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
12,62,0.03437304496765137,1,3.897,10.69,0.005905,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
18,104,0.09704422950744629,3,6.22,21.15,0.01023,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
19,149,0.11667203903198242,1,11.71,42.66,0.006981,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
34,207,0.1382279396057129,0,9.192,35.46,0.005843,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
41,272,0.15261101722717285,0,15.2,105.3,0.01047,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
35,196,0.12553882598876953,2,9.601,69.03,0.03018,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
36,238,0.1674659252166748,3,31.95,200.9,0.05183,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
64,407,0.25290679931640625,1,9.407,33.97,0.01989,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
45,321,0.23901629447937012,1,20.81,90.68,0.02875,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
56,355,0.20012378692626953,1,12.54,93.27,0.03826,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
40,266,0.18655705451965332,0,26.55,152.1,0.05357,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
67,405,0.2856440544128418,2,32.58,175.2,0.0407,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
110,625,0.42289304733276367,3,5.22,57.05,0.0685,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
77,527,0.42534685134887695,1,13.05,77.78,0.07113,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
73,494,0.34324193000793457,2,49.86,320.4,0.08121,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
71,451,0.3777048587799072,2,34.33,237.6,0.06447,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
72,468,0.39335107803344727,1,35.84,222.9,0.08884,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
99,645,0.37424373626708984,2,37.86,237.3,0.08424,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
85,577,0.38717103004455566,1,29.05,129.1,0.07992,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
108,669,0.41270923614501953,2,19.17,176.5,0.08276,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
115,774,0.5449159145355225,2,50.8,262.0,0.06083,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
114,761,0.48799586296081543,0,11.02,65.71,0.02183,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
126,859,0.5221810340881348,1,40.77,294.5,0.05686,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
111,750,0.5359089374542236,0,65.9,390.8,0.09272,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
133,860,0.6967020034790039,2,29.09,156.9,0.07738,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
161,1027,0.5910789966583252,1,44.04,332.7,0.1169,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
135,926,0.5684161186218262,2,51.57,376.3,0.137,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
165,1058,0.7457180023193359,3,53.45,303.9,0.02874,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
128,975,0.8006856441497803,0,79.67,515.5,0.1033,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
170,994,0.7735369205474854,2,41.56,338.4,0.1058,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
