depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,13,0.015550851821899414,1,1.732,5.196,0.003053,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
5,30,0.01945781707763672,2,10.87,12.46,0.002738,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
12,62,0.028197765350341797,2,4.416,3.897,0.001637,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
15,65,0.03491926193237305,3,1.118,9.124,0.003149,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
19,116,0.05562710762023926,0,6.942,30.33,0.01291,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
32,150,0.0830237865447998,1,8.871,31.06,0.009909,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
22,131,0.06765890121459961,0,11.61,27.36,0.008907,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
33,184,0.08295297622680664,2,17.08,48.09,0.01977,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
36,208,0.14887595176696777,3,25.14,105.2,0.02265,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
27,194,0.0908510684967041,3,4.743,7.794,0.005399,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
48,252,0.12096190452575684,1,7.79,35.27,0.006866,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
42,259,0.12228679656982422,0,2.062,4.243,0.01912,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
40,248,0.12517523765563965,1,28.69,79.71,0.03358,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
40,279,0.12639093399047852,1,1.299,0.0,0.003415,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
54,370,0.2007749080657959,3,8.246,8.874,0.03048,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
67,419,0.16730499267578125,2,3.562,13.08,0.03078,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
73,431,0.15972495079040527,3,5.804,10.26,0.02589,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
75,427,0.17129921913146973,3,4.918,2.487,0.0483,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
64,426,0.15215110778808594,0,16.11,18.9,0.02881,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
86,531,0.18574118614196777,0,10.92,9.605,0.02217,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
94,517,0.18126583099365234,1,8.378,18.9,0.04446,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
80,495,0.2325608730316162,3,53.76,178.9,0.05615,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
89,570,0.233839750289917,3,11.71,10.71,0.0295,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
126,653,0.25428223609924316,2,5.172,11.88,0.02171,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
117,649,0.32999396324157715,1,10.97,4.243,0.04086,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
93,612,0.28421497344970703,2,2.586,9.093,0.0252,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
123,695,0.25136518478393555,0,10.26,21.88,0.01202,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
115,715,0.28661203384399414,2,28.99,57.51,0.02202,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
106,734,0.24926304817199707,3,9.513,8.842,0.01896,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
109,728,0.24505114555358887,0,6.801,16.22,0.01883,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
127,810,0.2806379795074463,0,11.41,10.06,0.04062,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
121,775,0.24951910972595215,3,5.408,24.46,0.01615,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
142,833,0.2778010368347168,0,3.961,11.1,0.01049,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
115,754,0.299868106842041,2,17.43,35.08,0.02206,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
137,926,0.3321809768676758,2,26.84,31.42,0.01609,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
163,989,0.3564269542694092,2,14.34,8.874,0.01899,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
136,926,0.32526302337646484,1,15.45,22.35,0.009223,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
166,1028,0.3252370357513428,2,6.572,24.42,0.02431,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
151,991,0.34245824813842773,2,7.921,9.487,0.02269,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
152,1029,0.4132840633392334,0,25.93,21.11,0.03823,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
161,1070,0.3444340229034424,2,12.13,21.36,0.03633,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
211,1220,0.35572290420532227,2,29.53,47.69,0.02519,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
204,1198,0.38037991523742676,2,37.98,72.03,0.03656,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
156,1097,0.4119758605957031,0,21.31,48.49,0.01224,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
201,1251,0.37996482849121094,1,17.18,27.33,0.00526,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
229,1214,0.37929391860961914,0,5.679,17.28,0.02599,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
247,1288,0.4264869689941406,2,9.394,17.41,0.0191,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
189,1235,0.3763730525970459,2,5.761,18.78,0.008352,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
212,1279,0.4516751766204834,2,8.555,17.75,0.02227,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
193,1234,0.4016571044921875,1,20.65,24.5,0.009059,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
225,1397,0.41153478622436523,3,16.28,36.15,0.01565,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
233,1454,0.4508519172668457,1,21.34,48.19,0.009937,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
207,1349,0.43885016441345215,0,23.39,38.71,0.01029,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
196,1344,0.4159121513366699,2,23.77,35.9,0.04128,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
217,1394,0.45918893814086914,2,20.65,21.25,0.01504,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
257,1597,0.4852437973022461,0,8.139,12.44,0.01806,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
208,1370,0.43848228454589844,2,14.72,27.82,0.02305,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
272,1619,0.4831509590148926,3,15.99,28.18,0.02667,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
297,1718,0.5091447830200195,3,13.99,3.269,0.009164,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
268,1536,0.4812431335449219,3,14.31,44.62,0.01316,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
251,1648,0.5036602020263672,3,28.85,42.76,0.02997,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
291,1625,0.5035750865936279,2,12.34,28.81,0.01107,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
257,1670,0.4921848773956299,3,15.26,16.29,0.01751,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
272,1630,0.5185258388519287,0,7.842,10.89,0.01913,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
287,1706,0.5372200012207031,2,13.97,34.14,0.03116,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
241,1694,0.5816690921783447,1,23.1,30.84,0.02867,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
278,1733,0.528533935546875,2,27.4,31.86,0.00965,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
309,1864,0.572289228439331,0,6.016,25.22,0.006315,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
313,1849,0.5545341968536377,0,14.47,32.48,0.05471,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
264,1792,0.5401740074157715,1,30.9,18.67,0.02091,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
325,2011,0.6245179176330566,1,22.43,61.26,0.01543,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
313,1949,0.6196331977844238,0,27.81,46.45,0.02476,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
310,1976,0.5807812213897705,3,32.61,19.96,0.0107,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
303,1846,0.5920050144195557,3,16.41,41.79,0.02701,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
335,2038,0.665212869644165,0,19.42,23.27,0.0341,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
316,2020,0.6187741756439209,2,11.26,15.79,0.01995,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
310,1912,0.5614039897918701,1,13.61,28.09,0.01619,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
334,2122,0.6387476921081543,0,11.84,33.63,0.07165,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
356,2145,0.6648650169372559,1,11.61,41.64,0.0142,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
364,2127,0.6815571784973145,3,33.45,43.03,0.01234,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
377,2175,0.6578528881072998,2,43.61,70.05,0.02102,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
331,2044,0.6112408638000488,1,18.69,40.14,0.01954,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
425,2462,0.691399335861206,0,33.42,54.72,0.04471,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
340,2189,0.707413911819458,0,32.92,43.06,0.03355,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
406,2339,0.720653772354126,2,31.18,42.85,0.03832,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
347,2241,0.6465909481048584,3,25.64,34.82,0.01985,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
381,2282,0.6612160205841064,3,26.61,50.45,0.02737,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
406,2417,0.7267820835113525,1,18.77,40.05,0.01598,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
397,2499,0.8122601509094238,0,11.12,11.88,0.03084,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
423,2548,0.7590620517730713,0,43.1,90.22,0.04199,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
