depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
4,16,0.0010690689086914062,0,0,0,0.0001978,None,trivial_layout,0,1,1,1,3
5,27,0.0008006095886230469,0,0,0,4.73e-05,None,trivial_layout,0,1,1,1,3
6,35,0.0008420944213867188,0,0,0,6.857e-05,None,trivial_layout,0,1,1,1,3
7,41,0.0010418891906738281,0,0,0,7.596e-05,None,trivial_layout,0,1,1,1,3
11,62,0.0011758804321289062,0,0,0,7.934e-05,None,trivial_layout,0,1,1,1,3
14,78,0.002071857452392578,0,0,0,0.0003032,None,trivial_layout,0,1,1,1,3
11,77,0.0013380050659179688,0,0,0,8.004e-05,None,trivial_layout,0,1,1,1,3
15,91,0.0016031265258789062,0,0,0,9.162e-05,None,trivial_layout,0,1,1,1,3
16,115,0.001708984375,0,0,0,5.358e-05,None,trivial_layout,0,1,1,1,3
15,119,0.0018210411071777344,0,0,0,5.765e-05,None,trivial_layout,0,1,1,1,3
22,135,0.0019028186798095703,0,0,0,7.955e-05,None,trivial_layout,0,1,1,1,3
20,134,0.0019860267639160156,0,0,0,0.0002461,None,trivial_layout,0,1,1,1,3
20,136,0.0021178722381591797,0,0,0,8.089e-05,None,trivial_layout,0,1,1,1,3
26,162,0.0023658275604248047,0,0,0,8.58e-05,None,trivial_layout,0,1,1,1,3
26,190,0.0028929710388183594,0,0,0,0.000146,None,trivial_layout,0,1,1,1,3
32,194,0.002833127975463867,0,0,0,0.0001113,None,trivial_layout,0,1,1,1,3
27,200,0.0026941299438476562,0,0,0,0.000112,None,trivial_layout,0,1,1,1,3
27,208,0.002716064453125,0,0,0,0.0001466,None,trivial_layout,0,1,1,1,3
28,222,0.003030061721801758,0,0,0,7.192e-05,None,trivial_layout,0,1,1,1,3
42,235,0.003209829330444336,0,0,0,3.411e-05,None,trivial_layout,0,1,1,1,3
34,237,0.0031561851501464844,0,0,0,0.0002584,None,trivial_layout,0,1,1,1,3
36,252,0.0031309127807617188,0,0,0,0.0001507,None,trivial_layout,0,1,1,1,3
35,267,0.003389120101928711,0,0,0,0.0001069,None,trivial_layout,0,1,1,1,3
38,281,0.0037119388580322266,0,0,0,0.0001499,None,trivial_layout,0,1,1,1,3
38,295,0.003782987594604492,0,0,0,7.813e-05,None,trivial_layout,0,1,1,1,3
40,303,0.0038909912109375,0,0,0,5.85e-05,None,trivial_layout,0,1,1,1,3
50,335,0.004642963409423828,0,0,0,0.0002006,None,trivial_layout,0,1,1,1,3
48,340,0.0044820308685302734,0,0,0,3.473e-05,None,trivial_layout,0,1,1,1,3
43,338,0.004436016082763672,0,0,0,0.0001955,None,trivial_layout,0,1,1,1,3
46,344,0.0045430660247802734,0,0,0,7.088e-05,None,trivial_layout,0,1,1,1,3
51,366,0.004429817199707031,0,0,0,0.0001536,None,trivial_layout,0,1,1,1,3
61,385,0.0047647953033447266,0,0,0,7.811e-05,None,trivial_layout,0,1,1,1,3
52,388,0.004682064056396484,0,0,0,5.122e-05,None,trivial_layout,0,1,1,1,3
51,392,0.005198955535888672,0,0,0,0.0002125,None,trivial_layout,0,1,1,1,3
58,425,0.004999876022338867,0,0,0,7.057e-05,None,trivial_layout,0,1,1,1,3
61,437,0.005266904830932617,0,0,0,0.000123,None,trivial_layout,0,1,1,1,3
65,443,0.00533294677734375,0,0,0,0.0001272,None,trivial_layout,0,1,1,1,3
58,458,0.0057561397552490234,0,0,0,0.000107,None,trivial_layout,0,1,1,1,3
64,472,0.00543212890625,0,0,0,7.411e-05,None,trivial_layout,0,1,1,1,3
61,477,0.005406856536865234,0,0,0,0.0002606,None,trivial_layout,0,1,1,1,3
71,503,0.0060558319091796875,0,0,0,0.0002,None,trivial_layout,0,1,1,1,3
67,503,0.006146907806396484,0,0,0,0.0001773,None,trivial_layout,0,1,1,1,3
75,518,0.005952119827270508,0,0,0,9.133e-05,None,trivial_layout,0,1,1,1,3
72,529,0.005966901779174805,0,0,0,6.167e-05,None,trivial_layout,0,1,1,1,3
73,528,0.0061187744140625,0,0,0,0.0001125,None,trivial_layout,0,1,1,1,3
81,536,0.006190061569213867,0,0,0,8.05e-05,None,trivial_layout,0,1,1,1,3
90,556,0.006540060043334961,0,0,0,9.006e-05,None,trivial_layout,0,1,1,1,3
75,566,0.0067179203033447266,0,0,0,0.0002189,None,trivial_layout,0,1,1,1,3
73,595,0.006892204284667969,0,0,0,0.0001342,None,trivial_layout,0,1,1,1,3
89,607,0.007004976272583008,0,0,0,3.045e-05,None,trivial_layout,0,1,1,1,3
82,611,0.006793975830078125,0,0,0,0.0001683,None,trivial_layout,0,1,1,1,3
90,620,0.007283926010131836,0,0,0,5.937e-05,None,trivial_layout,0,1,1,1,3
80,614,0.007623195648193359,0,0,0,0.0002055,None,trivial_layout,0,1,1,1,3
94,642,0.007353067398071289,0,0,0,0.0001299,None,trivial_layout,0,1,1,1,3
91,659,0.007498979568481445,0,0,0,5.462e-05,None,trivial_layout,0,1,1,1,3
89,676,0.008098125457763672,0,0,0,0.0001756,None,trivial_layout,0,1,1,1,3
85,674,0.007697105407714844,0,0,0,1.668e-05,None,trivial_layout,0,1,1,1,3
91,704,0.008324146270751953,0,0,0,0.0001459,None,trivial_layout,0,1,1,1,3
111,710,0.008043050765991211,0,0,0,5.05e-05,None,trivial_layout,0,1,1,1,3
97,705,0.008023738861083984,0,0,0,0.0001161,None,trivial_layout,0,1,1,1,3
90,709,0.008455038070678711,0,0,0,0.01218,None,trivial_layout,0,1,1,1,3
99,743,0.008301019668579102,0,0,0,0.0001529,None,trivial_layout,0,1,1,1,3
108,761,0.008557796478271484,0,0,0,7.642e-05,None,trivial_layout,0,1,1,1,3
97,757,0.008414030075073242,0,0,0,0.002362,None,trivial_layout,0,1,1,1,3
94,758,0.010641813278198242,0,0,0,0.0008785,None,trivial_layout,0,1,1,1,3
118,770,0.008589029312133789,0,0,0,0.0001137,None,trivial_layout,0,1,1,1,3
105,785,0.009038925170898438,0,0,0,0.0001872,None,trivial_layout,0,1,1,1,3
107,796,0.008881807327270508,0,0,0,5.027e-05,None,trivial_layout,0,1,1,1,3
99,805,0.008946895599365234,0,0,0,9.029e-05,None,trivial_layout,0,1,1,1,3
110,805,0.008863210678100586,0,0,0,6.483e-05,None,trivial_layout,0,1,1,1,3
115,847,0.009324789047241211,0,0,0,6.172e-05,None,trivial_layout,0,1,1,1,3
112,842,0.0094451904296875,0,0,0,0.0001713,None,trivial_layout,0,1,1,1,3
108,851,0.009386062622070312,0,0,0,0.0001639,None,trivial_layout,0,1,1,1,3
120,874,0.009914875030517578,0,0,0,0.0001051,None,trivial_layout,0,1,1,1,3
117,898,0.010081768035888672,0,0,0,0.0002582,None,trivial_layout,0,1,1,1,3
122,907,0.009976863861083984,0,0,0,0.0002756,None,trivial_layout,0,1,1,1,3
125,913,0.010519027709960938,0,0,0,0.0002296,None,trivial_layout,0,1,1,1,3
124,928,0.010018110275268555,0,0,0,0.0002123,None,trivial_layout,0,1,1,1,3
132,933,0.010481119155883789,0,0,0,0.0001479,None,trivial_layout,0,1,1,1,3
127,945,0.010300874710083008,0,0,0,0.0001907,None,trivial_layout,0,1,1,1,3
126,966,0.010844945907592773,0,0,0,0.0003637,None,trivial_layout,0,1,1,1,3
128,980,0.011342287063598633,0,0,0,0.0002311,None,trivial_layout,0,1,1,1,3
133,988,0.010829925537109375,0,0,0,5.301e-05,None,trivial_layout,0,1,1,1,3
141,992,0.01081395149230957,0,0,0,0.0002495,None,trivial_layout,0,1,1,1,3
131,1007,0.011239767074584961,0,0,0,8.029e-05,None,trivial_layout,0,1,1,1,3
132,1029,0.011354207992553711,0,0,0,5.25e-05,None,trivial_layout,0,1,1,1,3
158,1034,0.011559247970581055,0,0,0,0.0002079,None,trivial_layout,0,1,1,1,3
133,1070,0.011595964431762695,0,0,0,0.0001594,None,trivial_layout,0,1,1,1,3
143,1077,0.012161016464233398,0,0,0,0.0001856,None,trivial_layout,0,1,1,1,3
143,1087,0.0122528076171875,0,0,0,0.0001644,None,trivial_layout,0,1,1,1,3
150,1081,0.012468099594116211,0,0,0,0.0001699,None,trivial_layout,0,1,1,1,3
140,1091,0.012057065963745117,0,0,0,0.0001923,None,trivial_layout,0,1,1,1,3
152,1103,0.012591838836669922,0,0,0,0.0002034,None,trivial_layout,0,1,1,1,3
