depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,13,0.010986089706420898,1,1.732,2.598,0.002474,sabre_v0_20_,sabre_layout,0,1,1,1,3
8,30,0.01786017417907715,0,1.225,3.897,0.001869,sabre_v0_20_,sabre_layout,0,1,1,1,3
9,32,0.02446603775024414,3,2.487,8.078,0.002832,sabre_v0_20_,sabre_layout,0,1,1,1,3
12,53,0.03033590316772461,0,7.628,27.33,0.004248,sabre_v0_20_,sabre_layout,0,1,1,1,3
22,104,0.06524205207824707,3,5.54,30.81,0.003461,sabre_v0_20_,sabre_layout,0,1,1,1,3
22,144,0.05809307098388672,3,8.786,11.3,0.004306,sabre_v0_20_,sabre_layout,0,1,1,1,3
31,158,0.08344721794128418,1,7.018,16.22,0.008666,sabre_v0_20_,sabre_layout,0,1,1,1,3
21,121,0.04715895652770996,2,5.717,37.19,0.01166,sabre_v0_20_,sabre_layout,0,1,1,1,3
33,133,0.07741189002990723,0,10.07,79.22,0.01478,sabre_v0_20_,sabre_layout,0,1,1,1,3
31,125,0.07105588912963867,2,7.595,48.34,0.02006,sabre_v0_20_,sabre_layout,0,1,1,1,3
42,225,0.0898427963256836,3,9.46,31.5,0.005044,sabre_v0_20_,sabre_layout,0,1,1,1,3
39,241,0.08376717567443848,2,7.106,17.67,0.01088,sabre_v0_20_,sabre_layout,0,1,1,1,3
44,194,0.09296822547912598,1,10.02,75.37,0.02025,sabre_v0_20_,sabre_layout,0,1,1,1,3
58,369,0.13486099243164062,1,24.36,37.31,0.007805,sabre_v0_20_,sabre_layout,0,1,1,1,3
66,247,0.09064292907714844,1,18.46,109.4,0.02849,sabre_v0_20_,sabre_layout,0,1,1,1,3
30,179,0.1062479019165039,3,22.94,128.2,0.01754,sabre_v0_20_,sabre_layout,0,1,1,1,3
40,215,0.11091876029968262,3,28.82,118.5,0.01942,sabre_v0_20_,sabre_layout,0,1,1,1,3
27,199,0.09015393257141113,1,24.99,130.7,0.03143,sabre_v0_20_,sabre_layout,0,1,1,1,3
30,219,0.09005618095397949,3,29.71,174.6,0.03661,sabre_v0_20_,sabre_layout,0,1,1,1,3
83,510,0.15842103958129883,3,19.09,66.17,0.01505,sabre_v0_20_,sabre_layout,0,1,1,1,3
41,238,0.09678387641906738,3,41.12,188.4,0.03668,sabre_v0_20_,sabre_layout,0,1,1,1,3
53,273,0.10814213752746582,3,20.12,128.8,0.02926,sabre_v0_20_,sabre_layout,0,1,1,1,3
100,621,0.19026780128479004,1,14.77,41.75,0.009806,sabre_v0_20_,sabre_layout,0,1,1,1,3
53,296,0.11315464973449707,2,30.31,154.1,0.04209,sabre_v0_20_,sabre_layout,0,1,1,1,3
78,376,0.12734007835388184,3,24.16,128.4,0.03985,sabre_v0_20_,sabre_layout,0,1,1,1,3
38,282,0.12112903594970703,2,22.99,47.17,0.01072,sabre_v0_20_,sabre_layout,0,1,1,1,3
56,332,0.13229608535766602,2,43.21,219.3,0.04961,sabre_v0_20_,sabre_layout,0,1,1,1,3
61,364,0.1307518482208252,2,53.57,256.6,0.05885,sabre_v0_20_,sabre_layout,0,1,1,1,3
58,359,0.10012984275817871,3,47.68,246.1,0.06952,sabre_v0_20_,sabre_layout,0,1,1,1,3
136,872,0.3040199279785156,0,6.021,18.9,0.02594,sabre_v0_20_,sabre_layout,0,1,1,1,3
