depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
5,19,0.012988805770874023,2,0.0,4.243,0.003024,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
8,42,0.0228731632232666,3,2.165,5.612,0.003882,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
9,41,0.0329437255859375,3,4.555,10.03,0.001559,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
13,80,0.054853200912475586,0,3.606,17.04,0.007399,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
23,119,0.08667802810668945,3,13.73,51.74,0.009928,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
19,84,0.0959019660949707,2,9.121,59.86,0.01334,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
25,167,0.09407806396484375,2,6.379,10.03,0.009753,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
26,163,0.1852419376373291,1,4.183,15.95,0.04235,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
41,250,0.14513778686523438,1,6.379,11.52,0.01604,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
34,194,0.12476491928100586,3,5.068,38.36,0.0153,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
41,282,0.22976994514465332,0,9.526,50.42,0.02491,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
46,265,0.17053604125976562,3,8.201,33.97,0.01074,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
20,137,0.12862181663513184,1,19.94,93.3,0.03121,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
28,177,0.14842510223388672,0,14.31,102.6,0.05455,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
36,214,0.1479198932647705,1,12.54,110.2,0.06242,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
62,242,0.14609408378601074,0,15.66,140.3,0.05019,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
70,485,0.3003730773925781,0,21.57,25.54,0.03634,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
68,481,0.2967538833618164,0,13.03,91.62,0.02035,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
63,339,0.295914888381958,3,9.11,116.1,0.01373,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
50,279,0.20767903327941895,2,32.5,213.4,0.05954,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
63,310,0.18384408950805664,3,23.85,193.5,0.06939,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
46,273,0.24569916725158691,1,24.6,181.3,0.03398,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
46,285,0.3387007713317871,3,22.48,185.5,0.01916,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
55,317,0.23798394203186035,2,38.2,243.8,0.08556,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
107,649,0.34804296493530273,0,14.09,46.81,0.0349,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
103,699,0.4229590892791748,2,26.12,140.3,0.03002,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
111,773,0.4093809127807617,3,26.41,119.8,0.04711,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
54,361,0.31803011894226074,3,37.98,237.5,0.09183,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
113,803,0.48195695877075195,3,7.28,51.46,0.02311,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
117,866,0.5421478748321533,0,9.808,44.72,0.02057,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
59,402,0.25899600982666016,2,52.33,307.7,0.117,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
80,442,0.457197904586792,0,42.7,334.8,0.1163,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
70,428,0.2619612216949463,3,26.94,232.3,0.1238,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
108,907,0.6448309421539307,2,16.41,74.76,0.07383,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
108,608,0.3110058307647705,0,17.84,200.6,0.1291,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
144,1031,0.5673232078552246,0,8.642,62.58,0.06777,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
103,527,0.4039158821105957,1,26.76,235.5,0.1018,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
164,1169,0.6869592666625977,1,13.15,73.53,0.04344,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
85,532,0.32315802574157715,1,35.94,272.5,0.1734,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
100,561,0.3830831050872803,3,48.65,382.1,0.1441,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
179,806,0.5345489978790283,2,26.1,298.7,0.1403,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
204,1328,0.8285491466522217,2,16.1,59.11,0.0332,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
191,1381,0.8344089984893799,1,13.32,100.7,0.01325,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
87,578,0.3504371643066406,2,49.31,389.3,0.2999,sabre_v0_20_depth_crit,sabre_layout,0,1,1,1.1,3
