depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
5,19,0.012624025344848633,2,0.0,4.243,0.003086,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
8,42,0.022597074508666992,3,2.165,9.721,0.004564,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
10,59,0.03904891014099121,3,4.265,8.746,0.004543,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
17,77,0.059355974197387695,2,3.767,19.25,0.002031,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
22,137,0.08946490287780762,3,3.961,14.91,0.00401,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
19,93,0.08548903465270996,2,5.214,30.52,0.006941,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
28,137,0.1106569766998291,3,8.074,58.83,0.03003,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
21,130,0.1021580696105957,0,10.99,40.1,0.003489,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
39,265,0.14316892623901367,3,8.292,62.61,0.01902,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
39,233,0.1290569305419922,2,5.701,36.43,0.01097,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
49,300,0.17029404640197754,2,4.359,35.14,0.004144,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
43,271,0.15697097778320312,3,9.601,51.32,0.01505,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
46,290,0.1501779556274414,2,3.536,36.93,0.02837,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
51,390,0.19491004943847656,3,7.628,12.55,0.01165,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
74,403,0.28975605964660645,1,13.69,73.01,0.039,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
65,263,0.14567899703979492,2,17.96,170.4,0.07449,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
61,449,0.2498621940612793,0,24.11,78.03,0.04532,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
75,514,0.2640409469604492,1,7.176,60.05,0.04057,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
70,531,0.26320886611938477,1,15.76,42.95,0.01964,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
84,600,0.30966997146606445,2,4.323,20.84,0.005296,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
50,262,0.20186972618103027,3,22.76,150.6,0.05314,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
70,339,0.20226311683654785,2,8.761,94.81,0.04593,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
85,660,0.3111381530761719,0,14.59,84.05,0.03955,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
51,299,0.18478798866271973,2,33.95,214.8,0.08815,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
85,481,0.3584251403808594,1,9.444,83.9,0.02377,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
114,810,0.38720202445983887,0,9.364,40.64,0.02175,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
58,377,0.28181982040405273,1,31.08,212.7,0.05715,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
54,379,0.3315000534057617,2,46.2,287.1,0.07816,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
52,368,0.24817633628845215,2,40.38,266.4,0.08649,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
56,383,0.3356490135192871,2,33.4,255.8,0.05478,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
59,417,0.2748892307281494,3,34.67,233.1,0.1046,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
72,442,0.22154974937438965,2,31.05,234.7,0.1124,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
147,818,0.5087218284606934,3,25.45,143.6,0.02748,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
75,457,0.39034414291381836,2,23.15,235.0,0.09809,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
135,974,0.5235440731048584,0,34.03,218.2,0.03528,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
80,503,0.3393690586090088,0,36.18,281.8,0.1009,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
147,1076,0.6033170223236084,2,14.54,58.9,0.03922,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
158,1163,0.6137678623199463,3,16.79,85.94,0.04091,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
149,715,0.44486308097839355,1,32.17,229.1,0.09896,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
158,1158,0.5626041889190674,2,16.64,96.82,0.03793,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
177,1283,0.7615437507629395,0,26.69,109.0,0.02862,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
171,1205,0.7182228565216064,0,28.87,136.3,0.01208,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
118,670,0.7684149742126465,3,59.84,366.5,0.06779,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
213,1565,0.8078649044036865,1,10.63,28.06,0.04944,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
109,654,0.3929288387298584,2,40.31,339.8,0.1646,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
114,719,0.4995269775390625,3,40.27,306.7,0.08991,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
104,682,0.3477818965911865,2,43.48,372.5,0.1828,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
107,686,0.38405895233154297,1,59.0,332.4,0.1906,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
191,1435,0.7820782661437988,3,37.57,151.0,0.03464,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
113,742,0.4241819381713867,3,63.21,394.5,0.1706,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
218,1592,0.9757578372955322,3,12.79,258.6,0.2193,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
96,683,0.5353150367736816,2,71.8,342.7,0.1811,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
108,728,0.5708260536193848,2,46.55,372.2,0.1336,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
156,864,0.6312377452850342,2,48.6,421.9,0.1584,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
138,839,0.7882449626922607,0,62.94,417.0,0.1414,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
156,928,0.797691822052002,3,44.81,333.8,0.08317,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
255,1778,0.8075511455535889,2,30.79,186.4,0.09665,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
119,803,0.6239471435546875,1,66.99,438.4,0.229,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
267,1979,1.0745978355407715,1,18.69,61.15,0.05338,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
198,1128,0.5233709812164307,1,41.62,301.8,0.243,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
126,835,0.8418359756469727,0,62.13,510.9,0.1827,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
162,890,0.9964120388031006,0,63.75,619.9,0.2378,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
121,809,0.5265109539031982,3,78.55,587.3,0.248,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
137,901,0.6966400146484375,0,96.93,444.3,0.1584,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
342,2222,1.1646180152893066,0,21.75,192.0,0.06943,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
130,902,0.9025800228118896,0,65.58,471.4,0.09289,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
134,911,0.6283299922943115,3,67.96,482.2,0.2061,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
144,889,0.5108952522277832,1,75.24,625.3,0.3107,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
210,1219,0.4904329776763916,3,45.79,412.5,0.3074,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
306,2128,1.2294726371765137,1,29.37,119.8,0.1341,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
204,1234,0.7098138332366943,3,68.44,538.2,0.2712,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
296,2204,1.2944691181182861,1,34.59,138.6,0.07733,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
192,1124,0.5337159633636475,1,52.66,520.3,0.3618,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
249,1381,0.8177542686462402,2,39.75,422.8,0.1814,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
166,1042,0.9279999732971191,1,72.56,630.5,0.2828,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
189,1150,1.0656828880310059,2,69.15,561.0,0.1471,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
208,1246,0.6890261173248291,2,96.9,499.2,0.2933,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
287,1519,0.6503622531890869,2,33.41,366.1,0.2975,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
298,1662,0.8567190170288086,2,72.01,402.6,0.2505,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
169,1101,0.912675142288208,1,93.39,675.3,0.2775,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
153,1038,0.5194098949432373,2,89.65,672.5,0.4133,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
388,2593,1.4587042331695557,2,18.91,117.1,0.2262,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
201,1226,1.233031988143921,2,84.93,613.4,0.1581,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
337,2657,1.651400089263916,1,69.68,418.6,0.2182,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
359,2657,1.738858938217163,3,68.21,391.1,0.08079,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
166,1140,0.7605190277099609,3,87.41,607.6,0.3748,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
347,1748,0.8781781196594238,3,58.53,565.0,0.3706,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
232,1484,0.993088960647583,0,80.75,633.1,0.2748,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
200,1254,1.368326187133789,2,86.59,725.4,0.2142,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
223,1411,0.9420092105865479,1,90.37,738.2,0.3547,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
405,3037,1.9134697914123535,0,41.63,141.6,0.1983,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
208,1367,0.9757070541381836,1,74.62,285.3,0.3151,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
204,1271,0.689720869064331,3,122.0,785.7,0.3633,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
328,1676,0.9985480308532715,1,62.76,676.3,0.3566,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
223,1384,0.9748363494873047,2,75.39,727.2,0.4659,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
269,1654,1.2354140281677246,1,98.37,709.5,0.2728,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
390,2887,1.9030091762542725,3,52.76,291.8,0.5935,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
299,1744,1.1050372123718262,1,77.61,635.7,98.62,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
440,3087,1.8355712890625,0,56.86,446.4,0.09606,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
470,2676,936.636461019516,1,1.658,311.1,404.7,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
