depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,13,0.011319160461425781,1,1.732,2.598,0.002193,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
2,21,0.01697707176208496,3,2.5,3.674,0.001844,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
3,26,0.022776126861572266,3,4.031,12.09,0.004387,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
11,68,0.04047894477844238,1,2.586,3.897,0.003713,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
16,77,0.04251599311828613,3,4.61,20.93,0.009062,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
23,123,0.0665438175201416,0,0.7071,14.23,0.003257,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
26,158,0.11495494842529297,1,5.025,10.89,0.02075,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
22,118,0.06314682960510254,0,12.05,38.1,0.0108,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
32,205,0.09021401405334473,0,19.52,67.18,0.01234,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
13,107,0.05413508415222168,1,12.9,45.61,0.02501,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
46,186,0.10509705543518066,1,10.45,43.81,0.005111,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
26,145,0.08915996551513672,1,12.97,42.93,0.006975,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
20,125,0.061830997467041016,1,21.94,79.1,0.02123,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
21,150,0.07876896858215332,0,11.71,67.3,0.01802,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
23,178,0.07300877571105957,1,32.87,139.3,0.04297,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
47,326,0.12935113906860352,3,18.54,41.26,0.005644,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
24,185,0.07504892349243164,3,21.25,108.8,0.03108,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
27,199,0.09145402908325195,1,25.05,103.8,0.03395,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
28,213,0.1403040885925293,0,31.31,110.3,0.03656,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
69,417,0.15173792839050293,1,9.836,59.37,0.02391,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
87,481,0.15605401992797852,0,9.934,18.66,0.008798,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
36,240,0.10433292388916016,0,34.8,96.17,0.03087,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
81,546,0.19048023223876953,3,9.274,15.07,0.01402,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
38,269,0.08855485916137695,2,38.07,102.2,0.04703,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
38,280,0.1302778720855713,2,26.96,95.75,0.03155,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
38,282,0.13279008865356445,0,37.67,109.1,0.02469,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
40,308,0.18561196327209473,0,59.04,166.3,0.03772,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
45,331,0.12247300148010254,1,42.87,203.3,0.06624,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
45,332,0.11972808837890625,2,38.71,212.1,0.06279,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
44,335,0.1168210506439209,2,39.43,205.7,0.0648,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
56,363,0.12373876571655273,2,60.6,221.9,0.06867,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
52,364,0.12605714797973633,0,51.11,228.1,0.05895,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
50,371,0.14599394798278809,0,63.8,255.9,0.06801,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
49,367,0.11553406715393066,0,42.87,227.3,0.07326,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
57,416,0.10978412628173828,0,54.56,216.9,0.05841,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
61,425,0.134552001953125,0,1.5,1.5,0.03224,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
