depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
4,36,0.0009462833404541016,0,0,0,0.0001364,None,trivial_layout,0,1,1,1,1
8,69,0.000982046127319336,0,0,0,4.881e-05,None,trivial_layout,0,1,1,1,1
12,92,0.003325223922729492,0,0,0,0.01823,None,trivial_layout,0,1,1,1,1
16,150,0.0016560554504394531,0,0,0,9.179e-05,None,trivial_layout,0,1,1,1,1
20,144,0.0016298294067382812,0,0,0,0.0001136,None,trivial_layout,0,1,1,1,1
24,226,0.0021049976348876953,0,0,0,5.188e-05,None,trivial_layout,0,1,1,1,1
27,230,0.001993894577026367,0,0,0,3.973e-05,None,trivial_layout,0,1,1,1,1
32,295,0.002586841583251953,0,0,0,0.000166,None,trivial_layout,0,1,1,1,1
40,309,0.003325939178466797,0,0,0,0.000321,None,trivial_layout,0,1,1,1,1
36,325,0.0028259754180908203,0,0,0,0.0001555,None,trivial_layout,0,1,1,1,1
44,343,0.0027608871459960938,0,0,0,6.192e-05,None,trivial_layout,0,1,1,1,1
56,435,0.0034360885620117188,0,0,0,0.000161,None,trivial_layout,0,1,1,1,1
47,456,0.003549814224243164,0,0,0,6.625e-05,None,trivial_layout,0,1,1,1,1
52,473,0.003648042678833008,0,0,0,7.049e-05,None,trivial_layout,0,1,1,1,1
60,513,0.004418134689331055,0,0,0,0.0002171,None,trivial_layout,0,1,1,1,1
63,536,0.004228830337524414,0,0,0,0.0003025,None,trivial_layout,0,1,1,1,1
67,610,0.004434823989868164,0,0,0,6.332e-05,None,trivial_layout,0,1,1,1,1
72,606,0.004956960678100586,0,0,0,0.0001721,None,trivial_layout,0,1,1,1,1
76,675,0.005115032196044922,0,0,0,0.000237,None,trivial_layout,0,1,1,1,1
80,690,0.005112886428833008,0,0,0,6.333e-05,None,trivial_layout,0,1,1,1,1
86,752,0.005505084991455078,0,0,0,0.0001184,None,trivial_layout,0,1,1,1,1
84,776,0.005474090576171875,0,0,0,7.237e-05,None,trivial_layout,0,1,1,1,1
91,784,0.005558013916015625,0,0,0,0.0002795,None,trivial_layout,0,1,1,1,1
95,786,0.005755901336669922,0,0,0,0.0001572,None,trivial_layout,0,1,1,1,1
99,877,0.006482839584350586,0,0,0,0.0003037,None,trivial_layout,0,1,1,1,1
104,892,0.006190776824951172,0,0,0,5.241e-05,None,trivial_layout,0,1,1,1,1
109,915,0.006399869918823242,0,0,0,8.599e-05,None,trivial_layout,0,1,1,1,1
107,926,0.006585836410522461,0,0,0,4.895e-05,None,trivial_layout,0,1,1,1,1
115,988,0.006719827651977539,0,0,0,9.203e-05,None,trivial_layout,0,1,1,1,1
119,1041,0.007215023040771484,0,0,0,7.724e-05,None,trivial_layout,0,1,1,1,1
123,1068,0.007465839385986328,0,0,0,0.0002726,None,trivial_layout,0,1,1,1,1
125,1095,0.007489919662475586,0,0,0,0.0002695,None,trivial_layout,0,1,1,1,1
132,1146,0.007753133773803711,0,0,0,0.0001614,None,trivial_layout,0,1,1,1,1
135,1162,0.008148908615112305,0,0,0,0.0002145,None,trivial_layout,0,1,1,1,1
148,1255,0.00871586799621582,0,0,0,0.0002386,None,trivial_layout,0,1,1,1,1
139,1245,0.008730888366699219,0,0,0,0.0001058,None,trivial_layout,0,1,1,1,1
143,1259,0.008816957473754883,0,0,0,0.0001575,None,trivial_layout,0,1,1,1,1
152,1299,0.008823156356811523,0,0,0,5.106e-05,None,trivial_layout,0,1,1,1,1
148,1286,0.009289264678955078,0,0,0,0.0001041,None,trivial_layout,0,1,1,1,1
159,1377,0.009306192398071289,0,0,0,0.0001141,None,trivial_layout,0,1,1,1,1
158,1381,0.009915828704833984,0,0,0,0.0002438,None,trivial_layout,0,1,1,1,1
168,1464,0.0103759765625,0,0,0,0.0001175,None,trivial_layout,0,1,1,1,1
164,1477,0.0102691650390625,0,0,0,0.0001307,None,trivial_layout,0,1,1,1,1
177,1541,0.010521173477172852,0,0,0,0.0001374,None,trivial_layout,0,1,1,1,1
176,1557,0.010776758193969727,0,0,0,0.0001941,None,trivial_layout,0,1,1,1,1
186,1583,0.01049494743347168,0,0,0,0.0001417,None,trivial_layout,0,1,1,1,1
184,1611,0.01113128662109375,0,0,0,0.0001096,None,trivial_layout,0,1,1,1,1
190,1664,0.011482000350952148,0,0,0,0.0003106,None,trivial_layout,0,1,1,1,1
196,1681,0.011456966400146484,0,0,0,0.01324,None,trivial_layout,0,1,1,1,1
192,1698,0.011271238327026367,0,0,0,0.0002227,None,trivial_layout,0,1,1,1,1
200,1713,0.011701107025146484,0,0,0,0.0005113,None,trivial_layout,0,1,1,1,1
211,1785,0.01197957992553711,0,0,0,0.0001515,None,trivial_layout,0,1,1,1,1
208,1803,0.011734962463378906,0,0,0,0.0002233,None,trivial_layout,0,1,1,1,1
210,1794,0.012053966522216797,0,0,0,0.0002927,None,trivial_layout,0,1,1,1,1
219,1849,0.012744903564453125,0,0,0,0.0001454,None,trivial_layout,0,1,1,1,1
224,1927,0.012691020965576172,0,0,0,0.0001371,None,trivial_layout,0,1,1,1,1
218,1927,0.012868165969848633,0,0,0,0.0001575,None,trivial_layout,0,1,1,1,1
230,1965,0.012847900390625,0,0,0,0.0001237,None,trivial_layout,0,1,1,1,1
241,2049,0.013305902481079102,0,0,0,0.0002582,None,trivial_layout,0,1,1,1,1
236,2020,0.013839960098266602,0,0,0,0.000234,None,trivial_layout,0,1,1,1,1
238,2076,0.01379704475402832,0,0,0,0.0001224,None,trivial_layout,0,1,1,1,1
249,2145,0.013732194900512695,0,0,0,0.0003026,None,trivial_layout,0,1,1,1,1
246,2131,0.014966964721679688,0,0,0,0.0004105,None,trivial_layout,0,1,1,1,1
251,2180,0.01441812515258789,0,0,0,0.000184,None,trivial_layout,0,1,1,1,1
259,2198,0.014215946197509766,0,0,0,0.0004116,None,trivial_layout,0,1,1,1,1
267,2257,0.01536107063293457,0,0,0,0.000337,None,trivial_layout,0,1,1,1,1
261,2305,0.015153169631958008,0,0,0,0.0002404,None,trivial_layout,0,1,1,1,1
270,2290,0.015745878219604492,0,0,0,0.01211,None,trivial_layout,0,1,1,1,1
273,2395,0.015797853469848633,0,0,0,0.0002424,None,trivial_layout,0,1,1,1,1
273,2419,0.015887975692749023,0,0,0,0.000167,None,trivial_layout,0,1,1,1,1
279,2439,0.016011714935302734,0,0,0,0.01184,None,trivial_layout,0,1,1,1,1
288,2498,0.016458988189697266,0,0,0,0.0001917,None,trivial_layout,0,1,1,1,1
294,2539,0.016566991806030273,0,0,0,0.0002635,None,trivial_layout,0,1,1,1,1
285,2582,0.016850948333740234,0,0,0,0.0001673,None,trivial_layout,0,1,1,1,1
294,2600,0.017410993576049805,0,0,0,0.0003415,None,trivial_layout,0,1,1,1,1
297,2581,0.016795873641967773,0,0,0,0.0001796,None,trivial_layout,0,1,1,1,1
