depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.006237983703613281,0,0.0,0.0,0.0003352,sabre_v0_20_,sabre_layout,0,1,1,1,3
2,20,0.016240835189819336,1,3.112,7.462,0.001604,sabre_v0_20_,sabre_layout,0,1,1,1,3
6,37,0.01902914047241211,3,5.403,2.487,0.0007494,sabre_v0_20_,sabre_layout,0,1,1,1,3
23,70,0.03401017189025879,2,6.61,18.78,0.003741,sabre_v0_20_,sabre_layout,0,1,1,1,3
37,138,0.0545039176940918,3,4.763,18.67,0.004358,sabre_v0_20_,sabre_layout,0,1,1,1,3
40,124,0.049294233322143555,0,8.378,24.46,0.003677,sabre_v0_20_,sabre_layout,0,1,1,1,3
52,210,0.0872349739074707,1,9.148,22.5,0.00636,sabre_v0_20_,sabre_layout,0,1,1,1,3
62,225,0.10448718070983887,1,21.73,51.32,0.004351,sabre_v0_20_,sabre_layout,0,1,1,1,3
90,296,0.11111116409301758,0,8.288,15.66,0.001083,sabre_v0_20_,sabre_layout,0,1,1,1,3
88,285,0.11288809776306152,2,8.307,26.24,0.005968,sabre_v0_20_,sabre_layout,0,1,1,1,3
108,402,0.13498306274414062,1,22.26,33.67,0.00706,sabre_v0_20_,sabre_layout,0,1,1,1,3
160,558,0.18838787078857422,2,13.32,9.836,0.005033,sabre_v0_20_,sabre_layout,0,1,1,1,3
159,543,0.19835424423217773,1,11.9,23.37,0.007541,sabre_v0_20_,sabre_layout,0,1,1,1,3
152,540,0.19072890281677246,2,6.759,15.5,0.004109,sabre_v0_20_,sabre_layout,0,1,1,1,3
149,517,0.20054388046264648,0,12.07,42.37,0.006071,sabre_v0_20_,sabre_layout,0,1,1,1,3
180,641,0.22269177436828613,0,14.5,17.41,0.006121,sabre_v0_20_,sabre_layout,0,1,1,1,3
216,702,0.24785518646240234,3,10.78,36.46,0.006747,sabre_v0_20_,sabre_layout,0,1,1,1,3
207,694,0.254500150680542,2,9.566,50.51,0.007798,sabre_v0_20_,sabre_layout,0,1,1,1,3
168,684,0.26676392555236816,2,36.34,74.26,0.008248,sabre_v0_20_,sabre_layout,0,1,1,1,3
259,896,0.3326418399810791,3,7.949,9.605,0.009256,sabre_v0_20_,sabre_layout,0,1,1,1,3
235,909,0.29255080223083496,1,26.5,58.85,0.009651,sabre_v0_20_,sabre_layout,0,1,1,1,3
204,773,0.3025047779083252,1,36.8,60.76,0.009184,sabre_v0_20_,sabre_layout,0,1,1,1,3
238,854,0.3333759307861328,1,30.26,48.2,0.01558,sabre_v0_20_,sabre_layout,0,1,1,1,3
282,987,0.31914186477661133,1,15.82,37.29,0.00576,sabre_v0_20_,sabre_layout,0,1,1,1,3
294,979,0.36586809158325195,2,20.09,37.01,0.006966,sabre_v0_20_,sabre_layout,0,1,1,1,3
292,1088,0.3675558567047119,1,26.58,30.48,0.01242,sabre_v0_20_,sabre_layout,0,1,1,1,3
310,1098,0.3703911304473877,3,26.19,38.09,0.008305,sabre_v0_20_,sabre_layout,0,1,1,1,3
261,916,0.3643639087677002,1,34.64,79.64,0.009731,sabre_v0_20_,sabre_layout,0,1,1,1,3
339,1153,0.3925478458404541,2,37.3,75.1,0.01868,sabre_v0_20_,sabre_layout,0,1,1,1,3
300,1112,0.42706990242004395,2,54.57,80.29,0.01196,sabre_v0_20_,sabre_layout,0,1,1,1,3
362,1198,0.4777369499206543,3,23.18,66.35,0.01258,sabre_v0_20_,sabre_layout,0,1,1,1,3
374,1342,0.46666693687438965,0,31.95,61.09,0.0142,sabre_v0_20_,sabre_layout,0,1,1,1,3
318,1312,0.4691288471221924,2,42.02,40.64,0.0118,sabre_v0_20_,sabre_layout,0,1,1,1,3
401,1410,0.5323131084442139,2,52.58,79.75,0.02012,sabre_v0_20_,sabre_layout,0,1,1,1,3
443,1443,0.48436570167541504,0,18.73,51.74,0.02113,sabre_v0_20_,sabre_layout,0,1,1,1,3
392,1301,0.4975130558013916,0,20.39,77.09,0.006405,sabre_v0_20_,sabre_layout,0,1,1,1,3
430,1420,0.5399181842803955,0,27.81,112.4,0.01721,sabre_v0_20_,sabre_layout,0,1,1,1,3
414,1462,0.531264066696167,3,29.51,71.13,0.01523,sabre_v0_20_,sabre_layout,0,1,1,1,3
435,1447,0.506181001663208,2,11.86,64.36,0.006772,sabre_v0_20_,sabre_layout,0,1,1,1,3
500,1718,0.5737738609313965,2,34.32,59.18,0.01473,sabre_v0_20_,sabre_layout,0,1,1,1,3
453,1571,0.5892632007598877,2,38.85,120.3,0.007257,sabre_v0_20_,sabre_layout,0,1,1,1,3
468,1637,0.6023709774017334,3,35.9,94.62,0.01835,sabre_v0_20_,sabre_layout,0,1,1,1,3
505,1775,0.6040129661560059,2,39.03,44.55,0.02207,sabre_v0_20_,sabre_layout,0,1,1,1,3
516,1758,0.6408429145812988,3,51.99,93.27,0.009701,sabre_v0_20_,sabre_layout,0,1,1,1,3
578,1981,0.6997408866882324,1,24.87,49.55,0.01164,sabre_v0_20_,sabre_layout,0,1,1,1,3
506,1808,0.6267688274383545,3,45.65,42.55,0.002698,sabre_v0_20_,sabre_layout,0,1,1,1,3
542,1852,0.6698479652404785,1,35.97,59.22,0.01721,sabre_v0_20_,sabre_layout,0,1,1,1,3
587,1914,0.654649019241333,2,22.79,63.58,0.01152,sabre_v0_20_,sabre_layout,0,1,1,1,3
561,1943,0.682420015335083,3,35.74,39.48,0.003383,sabre_v0_20_,sabre_layout,0,1,1,1,3
584,2025,0.7253561019897461,1,29.43,65.53,0.009076,sabre_v0_20_,sabre_layout,0,1,1,1,3
666,2099,0.7236919403076172,3,31.96,87.44,0.01752,sabre_v0_20_,sabre_layout,0,1,1,1,3
631,2107,0.7321512699127197,2,17.46,80.94,0.01782,sabre_v0_20_,sabre_layout,0,1,1,1,3
649,2126,0.7719638347625732,2,26.62,69.79,0.007328,sabre_v0_20_,sabre_layout,0,1,1,1,3
