depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.006513833999633789,2,1.785,2.487,0.0006343,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
6,35,0.01609206199645996,1,1.09,3.897,0.001026,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
7,37,0.023270845413208008,3,1.803,7.649,0.002085,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
13,70,0.03667283058166504,0,10.84,21.74,0.005306,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
26,114,0.06009173393249512,1,5.356,28.57,0.004383,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
33,139,0.05205082893371582,1,2.681,6.185,0.008146,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
44,222,0.10383200645446777,0,8.515,17.3,0.002454,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
57,297,0.12587594985961914,3,6.647,12.09,0.004546,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
68,308,0.12981009483337402,1,7.517,22.05,0.02148,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
76,297,0.13352704048156738,1,3.674,31.57,0.003754,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
65,318,0.1457819938659668,0,21.24,48.51,0.009564,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
96,450,0.20112895965576172,3,7.854,31.63,0.005859,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
116,501,0.23159384727478027,3,10.78,33.97,0.005464,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
125,525,0.22673392295837402,2,18.96,38.33,0.003783,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
105,499,0.26960015296936035,2,13.94,56.3,0.01189,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
128,584,0.2695338726043701,1,14.81,51.15,0.008558,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
146,681,0.29726505279541016,3,4.146,21.79,0.004327,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
142,622,0.28467679023742676,1,5.974,36.4,0.01359,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
167,759,0.3386390209197998,1,12.7,46.62,0.01903,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
176,725,0.35515403747558594,3,16.02,84.25,0.01769,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
176,819,0.37254881858825684,0,13.46,19.56,0.006022,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
185,827,0.3912928104400635,1,14.25,29.58,0.01024,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
177,818,0.37219715118408203,1,18.12,40.14,0.007557,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
203,891,0.39438796043395996,1,9.394,36.52,0.006832,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
195,916,0.4366888999938965,2,30.68,81.95,0.01257,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
228,1067,0.5428669452667236,1,14.65,48.4,0.01821,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
218,1035,0.47888994216918945,2,16.13,67.77,0.01324,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
212,1003,0.45633721351623535,0,13.01,69.11,0.01628,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
248,1141,0.5484127998352051,1,8.043,33.36,0.008338,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
280,1238,0.5693800449371338,2,11.26,40.05,0.008394,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
284,1327,0.5506739616394043,0,9.862,33.74,0.01821,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
291,1291,0.6177389621734619,1,16.81,38.36,0.008713,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
273,1249,0.609569787979126,3,21.0,59.83,0.006663,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
309,1407,0.6717190742492676,1,11.19,45.55,0.01262,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
326,1506,0.6439499855041504,1,15.84,67.89,0.01671,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
299,1325,0.6653001308441162,2,17.61,93.79,0.04112,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
305,1459,0.6817107200622559,2,20.75,44.29,0.02647,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
326,1483,0.68721604347229,3,20.91,81.7,0.02901,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
311,1384,0.6872289180755615,2,20.27,109.4,0.009618,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
362,1655,0.7786309719085693,1,18.85,83.22,0.01864,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
347,1670,0.7936830520629883,0,23.9,27.28,0.01206,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
373,1640,0.7731928825378418,0,11.45,39.66,0.009606,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
386,1850,0.7702541351318359,0,6.285,63.73,0.02401,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
387,1674,0.8818209171295166,3,17.5,85.41,0.02595,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
428,2119,0.9078178405761719,0,19.97,70.37,0.01446,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
386,1889,0.8436532020568848,2,10.71,31.42,0.02416,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
407,1918,0.9216370582580566,0,24.87,65.14,0.01733,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
412,1854,0.9066860675811768,3,15.53,51.15,0.02222,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
424,1889,0.8984808921813965,1,15.47,82.84,0.01194,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
