depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.007878780364990234,0,1.299,1.299,0.0009494,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
6,41,0.027542829513549805,1,1.09,3.269,0.001937,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
6,31,0.02781224250793457,3,2.598,8.216,0.001472,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
19,88,0.06744003295898438,3,2.947,10.82,0.002918,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
25,132,0.08533000946044922,3,5.477,10.06,0.01219,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
25,127,0.08115410804748535,0,4.153,15.37,0.008649,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
41,195,0.16761493682861328,0,6.61,29.58,0.009998,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
53,273,0.19803071022033691,2,6.185,20.93,0.01172,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
57,293,0.20268726348876953,2,7.595,38.91,0.01338,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
68,363,0.1943039894104004,0,7.758,13.31,0.0127,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
76,354,0.24663662910461426,0,4.062,27.44,0.005516,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
92,465,0.3505368232727051,1,11.15,53.56,0.01242,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
107,582,0.36211299896240234,1,7.395,13.81,0.01424,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
92,510,0.36857175827026367,2,14.13,74.11,0.01986,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
114,556,0.37074804306030273,3,6.18,32.93,0.01794,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
115,611,0.41852903366088867,3,7.327,36.19,0.008982,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
134,708,0.4676189422607422,0,11.5,40.72,0.0146,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
141,733,0.49266576766967773,1,9.605,33.07,0.005873,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
159,801,0.5457279682159424,2,5.262,29.58,0.009428,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
184,914,0.6149430274963379,3,9.823,50.8,0.01572,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
159,867,0.5780510902404785,2,20.18,68.62,0.02784,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
153,806,0.6096441745758057,0,15.02,62.37,0.01825,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
177,935,0.5629110336303711,3,8.197,31.86,0.01839,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
188,978,0.6727418899536133,1,12.09,55.66,0.01845,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
194,1054,0.7117941379547119,2,26.59,74.19,0.01161,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
219,1148,0.8118562698364258,1,9.909,33.84,0.0236,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
212,1101,0.8248538970947266,0,8.927,56.74,0.02019,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
206,1075,0.732313871383667,3,19.23,58.95,0.01263,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
238,1309,0.9052350521087646,3,17.7,82.36,0.008985,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
248,1295,0.910322904586792,0,17.84,70.91,0.03003,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
234,1318,0.9359700679779053,3,17.4,53.05,0.01218,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
265,1366,1.0221078395843506,3,15.82,47.93,0.02497,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
259,1384,0.9992289543151855,1,16.22,50.06,0.0306,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
284,1473,1.0496551990509033,0,17.44,45.57,0.03251,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
290,1512,1.1157379150390625,3,18.98,37.55,0.0397,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
269,1460,1.0727648735046387,0,12.58,74.22,0.01297,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
306,1489,1.092008352279663,1,10.81,61.75,0.02029,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
295,1564,1.1670830249786377,1,23.67,78.33,0.01567,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
315,1672,1.1655819416046143,1,21.24,13.31,0.00692,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
326,1799,1.306947946548462,0,14.62,26.37,0.0211,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
332,1757,1.344810962677002,2,22.91,78.59,0.02172,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
344,1832,1.2827179431915283,0,25.12,48.44,0.03162,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
332,1838,1.281242847442627,2,11.39,54.18,0.05158,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
383,1890,1.442291021347046,0,10.46,53.16,0.01947,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
419,2167,1.5586700439453125,2,19.53,43.42,0.02108,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
329,1691,1.447148084640503,1,29.98,130.1,0.008158,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
386,1945,1.5680408477783203,2,26.05,106.3,0.03738,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
398,2166,1.6226391792297363,0,18.07,77.72,0.04154,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
375,1955,1.5286290645599365,2,23.48,81.36,0.03628,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
431,2181,1.6863150596618652,3,28.15,89.61,0.0159,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
416,2255,1.7350411415100098,0,10.36,32.35,0.01651,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
438,2383,1.7699558734893799,0,9.513,29.04,0.02681,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
451,2282,1.742795705795288,2,25.2,67.23,0.03206,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
439,2297,1.7361228466033936,2,15.72,49.59,0.01963,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
453,2362,1.7986831665039062,0,21.3,105.7,0.0292,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
454,2325,1.817786693572998,0,36.54,128.9,0.05321,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
474,2454,1.9118149280548096,0,26.69,163.9,0.02365,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
474,2467,2.0228381156921387,0,26.9,58.11,0.02831,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
494,2524,1.9551382064819336,3,8.258,32.21,0.02131,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
484,2552,1.974287986755371,1,20.29,68.18,0.03619,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
515,2692,2.099759101867676,0,6.164,52.24,0.02226,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
531,2730,2.0957961082458496,2,13.44,68.38,0.03456,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
513,2709,2.2192940711975098,0,24.09,85.42,0.02728,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
565,2830,2.253586769104004,0,8.842,63.3,0.04065,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
545,2828,2.251750946044922,1,21.08,99.94,0.009872,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
546,2837,2.3544201850891113,0,26.5,96.15,0.04114,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
582,3089,2.3724820613861084,3,29.09,65.98,0.02311,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
581,3054,2.3316400051116943,0,11.18,24.92,0.03216,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
561,2906,2.5019309520721436,0,11.9,80.82,0.04474,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
626,3053,2.627307176589966,2,27.21,124.9,0.01586,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
617,3223,2.583198070526123,3,10.03,64.39,0.06763,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
652,3278,2.635953903198242,2,14.62,124.6,0.03836,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
600,3060,2.76357102394104,3,36.66,150.8,0.05644,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
656,3299,2.7937591075897217,1,20.13,67.56,0.06708,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
626,3315,2.7043938636779785,0,27.32,57.39,0.02663,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
615,3123,2.7532129287719727,3,29.04,179.6,0.08539,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
627,3352,2.8638930320739746,2,31.21,88.05,0.05675,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
632,3210,2.8416991233825684,3,37.52,178.0,0.0491,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
685,3476,2.9179630279541016,2,21.09,98.44,0.05183,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
676,3514,3.0524790287017822,3,43.98,172.1,0.04594,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
681,3580,3.092618942260742,2,36.35,72.97,0.0205,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
725,3736,3.219735860824585,2,15.66,47.46,0.04438,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
662,3467,3.1715548038482666,1,20.29,159.8,0.06099,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
705,3637,3.1735098361968994,1,5.068,86.04,0.04605,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
687,3651,3.171602964401245,0,46.45,117.1,0.073,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
733,3818,3.4061167240142822,0,33.51,116.5,0.02169,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
728,3984,3.297027826309204,2,23.21,80.93,0.05021,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
753,3909,3.341420888900757,3,10.5,75.51,0.04712,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
716,4003,3.434396743774414,2,31.78,100.7,0.05078,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
776,4041,3.6534018516540527,2,17.34,99.44,0.03403,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
770,3999,3.574352979660034,2,18.03,73.27,0.03714,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
761,3828,3.6575348377227783,1,42.51,258.0,0.0179,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
821,4312,3.6620712280273438,1,9.884,57.51,0.01267,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
789,4080,3.5695559978485107,1,55.77,179.1,0.06512,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
774,3958,3.642059087753296,1,26.59,106.3,0.04958,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
815,4330,3.711866855621338,1,27.34,12.97,0.04187,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
814,4272,3.8243038654327393,1,10.89,47.81,0.02301,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
841,4407,3.862025022506714,2,13.22,59.57,0.0426,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
784,4097,3.7840609550476074,3,35.25,135.5,0.05017,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
839,4384,4.006101131439209,1,30.03,79.58,0.05433,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
