depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.007364749908447266,0,0.0,0.0,0.0004322,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
6,27,0.01352381706237793,2,1.639,1.5,0.0008375,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
10,56,0.027685165405273438,2,5.494,6.495,0.0009618,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
21,93,0.047293901443481445,2,6.495,7.462,0.003416,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
31,114,0.05505824089050293,0,4.5,10.03,0.004534,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
30,145,0.07564592361450195,3,9.447,14.54,0.006132,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
56,197,0.08706092834472656,3,11.28,19.73,0.004048,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
42,193,0.08625507354736328,0,13.99,11.02,0.005864,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
62,229,0.10796594619750977,0,9.066,11.88,0.005123,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
62,261,0.11947011947631836,1,10.84,17.68,0.004999,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
60,274,0.14585590362548828,3,16.45,14.23,0.006284,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
90,357,0.17898893356323242,0,11.14,19.9,0.006345,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
107,381,0.16533303260803223,1,5.54,16.89,0.005064,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
98,353,0.17664599418640137,3,12.59,25.85,0.006526,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
100,405,0.17266416549682617,1,19.72,26.95,0.007869,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
118,442,0.22579503059387207,0,21.28,15.07,0.006068,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
137,479,0.2372281551361084,3,7.79,37.49,0.006138,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
138,498,0.24642419815063477,3,6.418,4.243,0.01218,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
198,666,0.31125569343566895,0,39.51,41.62,0.009422,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
158,585,0.2930469512939453,3,16.7,45.42,0.01639,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
203,656,0.28769993782043457,1,27.24,13.31,0.009353,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
