depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.00668787956237793,0,0.0,0.0,0.000482,sabre_v0_20_,sabre_layout,0,1,1,1,3
6,29,0.013549089431762695,3,2.165,2.121,0.001671,sabre_v0_20_,sabre_layout,0,1,1,1,3
6,25,0.013607978820800781,3,3.112,6.833,0.003015,sabre_v0_20_,sabre_layout,0,1,1,1,3
25,85,0.03571891784667969,1,4.528,12.97,0.01754,sabre_v0_20_,sabre_layout,0,1,1,1,3
26,117,0.051705121994018555,0,15.12,24.77,0.004599,sabre_v0_20_,sabre_layout,0,1,1,1,3
38,130,0.05415201187133789,1,5.356,16.5,0.002996,sabre_v0_20_,sabre_layout,0,1,1,1,3
65,240,0.08787679672241211,3,2.291,7.155,0.001198,sabre_v0_20_,sabre_layout,0,1,1,1,3
67,228,0.10366201400756836,0,14.3,53.43,0.006309,sabre_v0_20_,sabre_layout,0,1,1,1,3
79,323,0.12328505516052246,0,5.761,9.247,0.0055,sabre_v0_20_,sabre_layout,0,1,1,1,3
84,282,0.10738492012023926,1,11.67,22.98,0.006624,sabre_v0_20_,sabre_layout,0,1,1,1,3
85,363,0.1256871223449707,2,25.48,19.25,0.01155,sabre_v0_20_,sabre_layout,0,1,1,1,3
157,492,0.1738429069519043,2,16.5,49.27,0.005605,sabre_v0_20_,sabre_layout,0,1,1,1,3
145,498,0.1714329719543457,1,29.59,34.49,0.01068,sabre_v0_20_,sabre_layout,0,1,1,1,3
150,534,0.18582391738891602,3,7.842,18.9,0.006429,sabre_v0_20_,sabre_layout,0,1,1,1,3
128,493,0.19223976135253906,2,27.61,51.5,0.007851,sabre_v0_20_,sabre_layout,0,1,1,1,3
159,539,0.21082806587219238,3,14.62,27.9,0.006407,sabre_v0_20_,sabre_layout,0,1,1,1,3
213,657,0.25938987731933594,0,10.23,36.9,0.01385,sabre_v0_20_,sabre_layout,0,1,1,1,3
213,730,0.2664482593536377,0,22.49,19.6,0.004542,sabre_v0_20_,sabre_layout,0,1,1,1,3
180,669,0.2623438835144043,3,34.3,51.81,0.007684,sabre_v0_20_,sabre_layout,0,1,1,1,3
219,815,0.34207701683044434,2,21.51,38.79,0.009574,sabre_v0_20_,sabre_layout,0,1,1,1,3
216,813,0.3171968460083008,2,26.65,39.4,0.004603,sabre_v0_20_,sabre_layout,0,1,1,1,3
244,872,0.32924985885620117,1,11.39,29.95,0.01472,sabre_v0_20_,sabre_layout,0,1,1,1,3
240,845,0.28416895866394043,1,17.68,20.62,0.007716,sabre_v0_20_,sabre_layout,0,1,1,1,3
271,921,0.31787919998168945,1,32.86,111.5,0.01427,sabre_v0_20_,sabre_layout,0,1,1,1,3
266,916,0.3334770202636719,3,27.64,74.5,0.02116,sabre_v0_20_,sabre_layout,0,1,1,1,3
287,1040,0.3850827217102051,3,30.24,64.22,0.01784,sabre_v0_20_,sabre_layout,0,1,1,1,3
308,1074,0.3800389766693115,0,16.19,38.24,0.008577,sabre_v0_20_,sabre_layout,0,1,1,1,3
306,1048,0.3734018802642822,1,14.89,53.3,0.007688,sabre_v0_20_,sabre_layout,0,1,1,1,3
315,1159,0.44661593437194824,2,38.0,34.23,0.01127,sabre_v0_20_,sabre_layout,0,1,1,1,3
339,1199,0.43607401847839355,2,22.86,34.92,0.007434,sabre_v0_20_,sabre_layout,0,1,1,1,3
366,1234,0.47445178031921387,2,42.22,48.19,0.01173,sabre_v0_20_,sabre_layout,0,1,1,1,3
318,1192,0.4560258388519287,3,46.27,102.5,0.02841,sabre_v0_20_,sabre_layout,0,1,1,1,3
388,1336,0.47098803520202637,0,31.5,33.34,0.006034,sabre_v0_20_,sabre_layout,0,1,1,1,3
414,1476,0.5077269077301025,1,20.32,47.32,0.009968,sabre_v0_20_,sabre_layout,0,1,1,1,3
432,1410,0.49358081817626953,1,25.16,41.32,0.01233,sabre_v0_20_,sabre_layout,0,1,1,1,3
465,1553,0.5231771469116211,1,5.804,39.66,0.00594,sabre_v0_20_,sabre_layout,0,1,1,1,3
376,1306,0.5049316883087158,3,62.63,114.8,0.0174,sabre_v0_20_,sabre_layout,0,1,1,1,3
416,1438,0.5369870662689209,1,37.21,74.11,0.005909,sabre_v0_20_,sabre_layout,0,1,1,1,3
431,1486,0.5189671516418457,0,18.59,43.47,0.02542,sabre_v0_20_,sabre_layout,0,1,1,1,3
