depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.007972002029418945,1,2.0,3.0,0.01357,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
9,32,0.017225980758666992,3,1.225,4.243,0.001845,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
7,40,0.019706010818481445,0,2.165,4.437,0.001047,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
16,76,0.03624105453491211,2,4.603,11.22,0.002381,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
28,129,0.05729818344116211,0,0.866,8.078,0.004944,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
37,133,0.07108306884765625,3,4.359,19.83,0.005567,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
44,216,0.1034700870513916,2,4.743,13.81,0.004344,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
65,327,0.1274869441986084,1,2.165,18.12,0.00875,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
47,242,0.12041878700256348,1,11.61,32.55,0.007503,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
61,276,0.12139415740966797,2,8.874,32.9,0.01061,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
87,369,0.17536425590515137,2,5.89,36.21,0.005087,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
96,492,0.21176385879516602,3,11.81,18.54,0.005968,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
116,474,0.22533702850341797,3,1.785,29.92,0.00679,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
121,525,0.22923612594604492,3,4.093,10.71,0.007184,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
114,577,0.26244473457336426,0,13.92,16.84,0.006275,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
136,602,0.26987600326538086,1,16.16,27.94,0.004052,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
163,693,0.30911898612976074,0,10.11,33.57,0.003893,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
159,721,0.31764793395996094,1,15.01,31.86,0.01342,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
146,699,0.338360071182251,2,16.42,54.87,0.008791,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
197,902,0.40963268280029297,0,14.5,23.91,0.007304,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
167,891,0.39179491996765137,0,17.17,40.33,0.006081,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
191,836,0.39511919021606445,0,9.934,66.49,0.01112,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
178,851,0.3577549457550049,2,7.159,15.37,0.009695,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
194,897,0.4148280620574951,0,14.61,31.92,0.005977,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
214,1030,0.44238781929016113,1,28.48,62.98,0.01272,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
247,1097,0.5223338603973389,2,12.44,70.14,0.01347,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
233,1071,0.4645266532897949,0,11.58,10.03,0.01714,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
226,1051,0.4630429744720459,2,14.69,27.21,0.01178,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
246,1171,0.562870979309082,2,18.39,46.52,0.01586,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
257,1232,0.5432140827178955,2,8.613,46.83,0.01133,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
258,1189,0.5908191204071045,0,21.85,61.08,0.02283,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
290,1366,0.612602710723877,3,11.88,38.09,0.01286,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
310,1381,0.6107561588287354,3,9.95,69.36,0.01859,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
285,1362,0.6517858505249023,3,34.41,80.54,0.01588,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
299,1440,0.6489481925964355,3,7.949,40.33,0.01224,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
312,1343,0.6493539810180664,0,17.2,83.66,0.01406,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
323,1405,0.653162956237793,0,17.76,53.85,0.01517,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
341,1555,0.7339098453521729,0,18.59,48.37,0.01056,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
332,1528,0.676037073135376,0,7.228,46.2,0.01161,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
352,1601,0.7522459030151367,2,13.46,85.25,0.01175,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
326,1598,0.7683138847351074,2,36.35,78.44,0.01444,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
358,1496,0.8109939098358154,3,34.04,123.1,0.02071,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
358,1664,0.7734930515289307,2,27.63,44.12,0.009297,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
411,1806,0.8415560722351074,1,15.26,67.05,0.02223,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
418,1879,0.899212121963501,3,28.69,90.93,0.02513,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
417,1895,0.8460626602172852,1,8.66,28.01,0.009496,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
426,1939,0.8943650722503662,0,15.7,45.0,0.03382,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
434,2025,0.9249472618103027,2,16.05,56.3,0.01198,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
416,1898,0.9617002010345459,0,35.59,75.91,0.02645,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
462,2070,0.9966051578521729,0,19.54,48.99,0.02262,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
488,2114,0.9361047744750977,1,15.48,97.43,0.03311,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
479,2146,1.0043118000030518,1,22.8,45.71,0.02258,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
438,2045,1.0129687786102295,3,22.99,79.57,0.02295,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
428,2102,0.9889988899230957,0,39.59,80.25,0.02111,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
505,2224,1.010141372680664,0,14.4,54.51,0.01547,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
490,2271,1.1113178730010986,1,20.55,43.96,0.02084,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
473,2337,1.1060338020324707,0,33.21,74.29,0.02294,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
496,2341,1.1616230010986328,0,22.11,52.49,0.02242,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
507,2215,1.1001482009887695,3,32.18,133.4,0.008821,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
532,2414,1.147447109222412,2,28.25,87.88,0.01582,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
546,2635,1.2133409976959229,1,16.5,22.75,0.02161,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
547,2529,1.192873239517212,0,21.36,63.08,0.02313,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
601,2694,1.2694122791290283,0,6.538,69.63,0.02104,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
523,2413,1.2401599884033203,3,43.71,148.1,0.01162,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
564,2627,1.275670051574707,3,50.01,108.8,0.02365,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
627,2831,1.300736904144287,3,11.97,65.62,0.02114,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
628,2672,1.274411916732788,0,24.76,100.3,0.05369,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
589,2670,1.3269126415252686,1,33.71,45.37,0.01263,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
618,2951,1.4095549583435059,1,36.13,38.26,0.04476,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
646,3005,1.4545748233795166,2,21.48,38.36,0.02324,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
681,3028,1.4463779926300049,0,12.35,77.67,0.02362,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
710,3197,1.45381498336792,3,25.82,75.24,0.03757,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
670,3108,1.4575178623199463,3,31.43,42.9,0.01984,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
717,3380,1.5340931415557861,2,34.89,93.49,0.0268,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
693,3102,1.5206100940704346,3,11.81,35.77,0.01977,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
695,3144,1.46858811378479,3,23.54,107.8,0.04768,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
697,2959,1.554203987121582,0,32.61,147.4,0.01782,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
724,3342,1.591506004333496,0,29.12,97.28,0.01774,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
684,3293,1.6524369716644287,1,37.45,85.86,0.01925,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
741,3397,1.7237069606781006,1,16.01,69.37,0.02359,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
727,3379,1.6493041515350342,1,28.06,139.1,0.01513,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
806,3724,1.7818551063537598,1,19.46,59.22,0.03774,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
757,3278,1.7618141174316406,2,29.52,162.5,0.02361,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
774,3469,1.8217709064483643,2,28.68,109.6,0.03891,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
780,3564,1.8256099224090576,2,43.79,114.9,0.02353,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
816,3716,1.895043134689331,0,11.11,24.22,0.03086,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
837,3630,1.8281617164611816,1,14.29,60.63,0.003981,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
