depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.008962869644165039,1,2.0,3.0,0.0008935,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
6,29,0.018718957901000977,3,1.785,5.612,0.004481,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
8,34,0.025124311447143555,1,2.062,7.5,0.002937,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
19,85,0.05333900451660156,0,2.861,15.37,0.006874,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
25,126,0.07687091827392578,1,2.861,14.91,0.02389,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
23,121,0.10124897956848145,3,3.937,14.23,0.006445,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
36,186,0.15795612335205078,1,7.189,40.55,0.01173,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
55,276,0.19350481033325195,1,2.958,44.65,0.01598,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
60,308,0.1981339454650879,0,10.07,17.02,0.009751,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
65,288,0.20328593254089355,1,4.062,42.37,0.0101,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
85,411,0.239426851272583,0,4.969,17.23,0.00725,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
97,522,0.3439619541168213,3,9.287,41.73,0.01923,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
103,597,0.38882875442504883,0,9.679,28.57,0.01591,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
106,555,0.3803091049194336,3,11.28,55.86,0.0235,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
103,553,0.3851609230041504,2,9.575,47.53,0.01498,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
116,566,0.42197513580322266,0,5.761,20.28,0.01837,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
139,738,0.4749901294708252,3,3.354,16.62,0.005297,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
133,682,0.5018258094787598,2,6.576,42.56,0.007137,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
142,717,0.538132905960083,2,16.8,51.46,0.008329,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
152,869,0.623866081237793,3,13.97,37.62,0.0003835,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
171,879,0.589569091796875,1,10.98,40.94,0.0145,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
165,899,0.6506831645965576,0,14.52,43.29,0.01852,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
165,920,0.6151559352874756,0,10.35,26.1,0.01964,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
196,1029,0.6437332630157471,3,3.112,22.95,0.01099,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
223,1099,0.692955732345581,1,3.961,7.5,0.01853,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
218,1136,0.7903738021850586,2,4.146,31.25,0.02182,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
212,1041,0.7734279632568359,3,14.54,66.17,0.01377,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
205,1057,0.7086060047149658,3,10.62,36.95,0.01657,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
245,1222,0.9800379276275635,3,5.05,45.72,0.03311,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
236,1277,0.8837249279022217,1,17.11,49.75,0.035,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
263,1348,0.9234979152679443,1,12.07,33.61,0.02143,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
275,1411,0.9651448726654053,3,13.08,23.94,0.01648,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
251,1309,0.9949607849121094,2,21.96,130.0,0.0352,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
257,1425,1.0347900390625,3,18.5,59.51,0.02543,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
283,1479,1.0451629161834717,1,15.24,43.21,0.02152,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
276,1361,1.0966830253601074,2,13.32,89.84,0.02308,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
286,1516,1.1034958362579346,1,7.918,14.91,0.04079,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
307,1702,1.1986980438232422,3,19.46,58.11,0.02479,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
312,1642,1.1567509174346924,0,7.628,26.5,0.02541,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
360,1922,1.4168970584869385,2,4.359,51.89,0.06126,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
329,1778,1.2900629043579102,3,20.4,44.87,0.03013,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
311,1664,1.341831922531128,3,30.32,116.5,0.03984,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
347,1790,1.3562910556793213,1,20.03,99.73,0.02544,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
344,1815,1.3944439888000488,3,23.14,129.9,0.04681,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
389,2047,1.6032941341400146,3,25.37,79.69,0.02382,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
335,1760,1.453230857849121,2,37.85,146.1,0.01855,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
398,2119,1.5745539665222168,3,14.15,21.36,0.04526,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
396,2067,1.6034209728240967,1,24.6,51.81,0.02459,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
369,2117,1.568274974822998,1,28.72,67.38,0.02188,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
419,2208,1.6840031147003174,1,24.58,86.65,0.02459,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
412,2096,1.6935570240020752,3,27.17,127.1,0.02475,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
429,2200,1.7385931015014648,3,15.24,91.43,0.0251,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
418,2297,1.7209069728851318,2,18.23,58.27,0.0185,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
425,2360,1.772001028060913,2,13.54,33.61,0.02213,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
435,2224,1.7419519424438477,2,41.43,170.4,0.04281,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
440,2286,1.8097867965698242,3,14.53,69.24,0.01115,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
445,2358,1.893221139907837,2,25.89,101.8,0.03593,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
475,2422,1.9504420757293701,1,18.34,91.55,0.01986,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
471,2461,1.9829561710357666,2,18.66,73.76,0.02721,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
490,2546,2.0231969356536865,3,18.61,80.29,0.009878,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
535,2755,2.1482481956481934,1,15.15,40.1,0.02591,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
522,2796,2.1637470722198486,1,12.56,16.62,0.01172,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
504,2685,2.216917037963867,3,39.69,139.5,0.02423,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
531,2773,2.1828160285949707,2,22.87,66.79,0.02355,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
512,2675,2.2684428691864014,2,37.43,130.9,0.02377,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
544,3002,2.3731842041015625,3,25.17,131.2,0.03789,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
556,2918,2.3792612552642822,2,38.36,112.0,0.01435,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
552,2826,2.381248950958252,3,15.98,94.38,0.03417,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
589,3116,2.459774971008301,3,3.354,23.85,0.06699,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
586,2999,2.4614720344543457,0,23.16,82.93,0.07077,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
637,3268,2.5883288383483887,1,19.42,32.21,0.0118,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
639,3338,2.6501691341400146,2,6.942,57.43,0.01491,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
643,3342,2.689987897872925,2,13.79,55.25,0.03694,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
613,3272,2.684717893600464,0,30.64,101.2,0.03793,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
625,3312,2.6926989555358887,1,13.81,89.41,0.04496,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
622,3225,2.689824104309082,1,14.29,69.1,0.1117,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
