depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.006394863128662109,0,0.0,0.0,0.0007034,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
6,26,0.014343738555908203,3,1.0,2.598,0.002034,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
6,25,0.011916875839233398,2,5.788,6.833,0.002533,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
13,58,0.03141617774963379,2,1.871,8.584,0.002846,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
25,90,0.046659231185913086,0,1.658,17.36,0.004452,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
25,112,0.050744056701660156,0,3.897,10.47,0.00444,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
59,168,0.07807183265686035,3,4.493,11.32,0.005225,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
54,201,0.09812498092651367,2,7.969,18.12,0.006143,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
63,218,0.09767293930053711,1,10.3,14.54,0.008397,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
60,225,0.11683106422424316,3,10.71,8.584,0.007632,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
86,288,0.12703275680541992,1,7.259,16.75,0.004386,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
85,330,0.16795802116394043,3,11.71,26.78,0.004796,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
117,366,0.18835997581481934,2,13.46,20.28,0.009344,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
111,396,0.18787598609924316,3,8.529,5.612,0.003706,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
108,409,0.2132868766784668,3,12.99,22.15,0.01668,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
128,413,0.19077825546264648,3,10.54,24.59,0.01472,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
143,501,0.24713921546936035,0,22.39,18.78,0.009478,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
167,565,0.24164605140686035,0,8.185,13.16,0.006806,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
192,600,0.2600288391113281,1,13.35,28.26,0.004633,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
214,641,0.30789709091186523,0,8.559,33.9,0.007884,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
194,624,0.2802157402038574,1,19.63,37.43,0.01355,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
189,638,0.28220582008361816,1,22.96,53.54,0.01915,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
172,620,0.27578306198120117,3,15.59,26.61,0.007365,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
201,666,0.3025670051574707,3,21.51,44.85,0.01324,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
200,730,0.3360409736633301,1,27.99,45.12,0.02349,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
265,878,0.3694639205932617,1,19.05,12.07,0.01589,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
245,843,0.40009093284606934,0,6.042,28.09,0.01706,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
221,775,0.3389272689819336,1,25.24,26.28,0.01005,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
