depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.039700984954833984,1,1.732,1.299,0.01416,sabre_v0_20_,sabre_layout,0,1,1,1,3
6,26,0.015259027481079102,3,2.165,2.487,0.0002623,sabre_v0_20_,sabre_layout,0,1,1,1,3
3,22,0.015408039093017578,3,2.165,5.761,0.002197,sabre_v0_20_,sabre_layout,0,1,1,1,3
16,67,0.03312206268310547,0,2.861,4.437,0.004237,sabre_v0_20_,sabre_layout,0,1,1,1,3
30,117,0.04834103584289551,3,4.815,19.37,0.007547,sabre_v0_20_,sabre_layout,0,1,1,1,3
30,121,0.04286813735961914,2,4.657,4.918,0.003197,sabre_v0_20_,sabre_layout,0,1,1,1,3
36,150,0.06477594375610352,1,13.87,28.41,0.002607,sabre_v0_20_,sabre_layout,0,1,1,1,3
51,174,0.07158803939819336,3,8.786,29.04,0.004333,sabre_v0_20_,sabre_layout,0,1,1,1,3
51,221,0.08703780174255371,2,11.11,7.758,0.002524,sabre_v0_20_,sabre_layout,0,1,1,1,3
53,246,0.09437322616577148,0,15.27,36.21,0.007457,sabre_v0_20_,sabre_layout,0,1,1,1,3
65,234,0.10147619247436523,0,25.41,43.27,0.007171,sabre_v0_20_,sabre_layout,0,1,1,1,3
106,360,0.12240195274353027,2,10.64,35.07,0.006712,sabre_v0_20_,sabre_layout,0,1,1,1,3
87,345,0.12457108497619629,0,23.35,38.96,0.007486,sabre_v0_20_,sabre_layout,0,1,1,1,3
85,342,0.12563395500183105,2,20.61,50.38,0.008217,sabre_v0_20_,sabre_layout,0,1,1,1,3
118,418,0.16080617904663086,3,19.24,41.24,0.01052,sabre_v0_20_,sabre_layout,0,1,1,1,3
84,359,0.1436631679534912,0,19.21,52.54,0.01054,sabre_v0_20_,sabre_layout,0,1,1,1,3
143,537,0.17700695991516113,0,11.23,17.87,0.01274,sabre_v0_20_,sabre_layout,0,1,1,1,3
112,487,0.1919419765472412,3,15.95,33.51,0.01151,sabre_v0_20_,sabre_layout,0,1,1,1,3
128,495,0.18456387519836426,2,20.51,29.73,0.01252,sabre_v0_20_,sabre_layout,0,1,1,1,3
146,557,0.20435786247253418,0,25.11,65.47,0.006323,sabre_v0_20_,sabre_layout,0,1,1,1,3
140,549,0.20170283317565918,0,29.21,38.73,0.008003,sabre_v0_20_,sabre_layout,0,1,1,1,3
161,530,0.18819904327392578,2,21.29,55.03,0.01273,sabre_v0_20_,sabre_layout,0,1,1,1,3
173,620,0.21122407913208008,0,27.72,60.87,0.008695,sabre_v0_20_,sabre_layout,0,1,1,1,3
195,726,0.24852800369262695,2,32.92,45.5,0.02388,sabre_v0_20_,sabre_layout,0,1,1,1,3
171,637,0.2532989978790283,0,19.34,47.55,0.01125,sabre_v0_20_,sabre_layout,0,1,1,1,3
221,776,0.28871798515319824,0,31.71,55.82,0.008301,sabre_v0_20_,sabre_layout,0,1,1,1,3
219,819,0.28464603424072266,1,23.44,40.88,0.007773,sabre_v0_20_,sabre_layout,0,1,1,1,3
174,712,0.23193693161010742,2,14.36,24.77,0.004514,sabre_v0_20_,sabre_layout,0,1,1,1,3
205,796,0.2918667793273926,0,39.83,91.13,0.01835,sabre_v0_20_,sabre_layout,0,1,1,1,3
230,869,0.3066401481628418,3,19.66,46.28,0.01834,sabre_v0_20_,sabre_layout,0,1,1,1,3
224,829,0.30016207695007324,3,36.42,54.39,0.008046,sabre_v0_20_,sabre_layout,0,1,1,1,3
208,844,0.32838988304138184,2,59.61,111.9,0.01475,sabre_v0_20_,sabre_layout,0,1,1,1,3
247,889,0.32897186279296875,3,31.74,67.76,0.0177,sabre_v0_20_,sabre_layout,0,1,1,1,3
249,876,0.3618450164794922,3,41.96,103.3,0.0244,sabre_v0_20_,sabre_layout,0,1,1,1,3
296,1029,0.361799955368042,0,34.26,55.86,0.01592,sabre_v0_20_,sabre_layout,0,1,1,1,3
256,974,0.39255285263061523,1,34.84,83.15,0.01285,sabre_v0_20_,sabre_layout,0,1,1,1,3
235,907,0.34613609313964844,2,48.25,116.2,0.01919,sabre_v0_20_,sabre_layout,0,1,1,1,3
255,949,0.34989500045776367,0,43.43,78.76,0.004205,sabre_v0_20_,sabre_layout,0,1,1,1,3
335,1072,0.359328031539917,0,5.22,37.67,0.006637,sabre_v0_20_,sabre_layout,0,1,1,1,3
309,1046,0.4194512367248535,2,32.52,110.8,0.01126,sabre_v0_20_,sabre_layout,0,1,1,1,3
309,1103,0.4237678050994873,3,22.29,64.01,0.02048,sabre_v0_20_,sabre_layout,0,1,1,1,3
