depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.00664210319519043,0,1.732,2.598,0.01601,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
5,32,0.01628589630126953,0,4.637,5.761,0.001905,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
8,43,0.02332592010498047,2,2.046,3.0,0.0007895,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
13,61,0.02862691879272461,3,1.785,8.746,0.003541,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
26,111,0.06945013999938965,3,1.871,10.47,0.003973,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
28,133,0.056349754333496094,2,4.387,6.833,0.004601,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
30,159,0.08499407768249512,0,6.782,18.54,0.00201,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
48,267,0.10388302803039551,0,8.437,16.75,0.00227,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
42,185,0.08503913879394531,1,9.11,25.22,0.008952,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
41,195,0.09982800483703613,0,11.54,34.75,0.008394,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
52,234,0.10580277442932129,1,8.155,33.77,0.01859,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
79,375,0.13118505477905273,3,9.975,33.84,0.01871,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
74,372,0.16826772689819336,0,13.22,30.84,0.01119,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
51,279,0.17743897438049316,0,11.02,33.9,0.02407,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
80,370,0.1746659278869629,2,22.32,71.19,0.01418,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
90,488,0.19685935974121094,1,9.984,28.66,0.002757,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
105,486,0.2205641269683838,2,12.28,34.36,0.01077,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
101,505,0.21449613571166992,1,7.854,56.18,0.008336,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
105,489,0.21142864227294922,0,29.88,81.26,0.02356,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
110,527,0.26497387886047363,0,13.87,44.45,0.01017,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
123,564,0.2560861110687256,1,27.62,87.8,0.01866,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
129,599,0.24088001251220703,0,13.67,38.96,0.009159,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
121,617,0.2488410472869873,3,12.85,27.66,0.02818,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
160,654,0.2838778495788574,1,7.228,31.78,0.01585,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
147,694,0.31519293785095215,0,15.82,34.99,0.01219,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
192,758,0.3713669776916504,1,12.36,68.59,0.01331,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
146,621,0.3247802257537842,1,25.46,93.95,0.01288,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
154,790,0.30828094482421875,3,8.216,47.77,0.01522,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
161,796,0.4075767993927002,2,23.25,77.58,0.007537,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
181,863,0.38129186630249023,0,10.43,47.58,0.01492,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
188,850,0.37952613830566406,2,23.54,68.49,0.01827,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
220,979,0.4337458610534668,2,11.61,43.37,0.006256,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
196,868,0.4327108860015869,3,27.4,85.87,0.01528,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
206,963,0.44692111015319824,3,17.85,67.89,0.02132,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
