depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.007299900054931641,1,1.732,1.299,0.0007474,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
6,26,0.01234579086303711,2,2.487,3.897,0.001366,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
5,25,0.015769004821777344,0,4.146,6.708,0.01529,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
12,49,0.022097110748291016,2,0.5,4.437,0.00148,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
18,78,0.046088218688964844,2,6.139,7.758,0.001989,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
24,94,0.04602813720703125,2,4.975,10.47,0.003829,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
28,99,0.06312799453735352,1,10.03,18.67,0.0026,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
42,144,0.0731050968170166,0,11.84,20.61,0.003419,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
38,167,0.08185076713562012,3,5.788,6.185,0.004085,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
42,177,0.0860128402709961,2,5.937,13.97,0.005055,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
24,117,0.06747293472290039,1,16.84,46.4,0.01578,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
63,222,0.1048431396484375,2,2.121,23.94,0.01057,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
41,171,0.10230708122253418,3,24.5,48.39,0.01027,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
42,222,0.0972590446472168,0,12.38,22.08,0.007922,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
68,286,0.13128399848937988,0,26.85,55.09,0.01527,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
61,281,0.13534307479858398,3,7.517,10.17,0.008329,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
28,192,0.1168968677520752,0,34.87,73.39,0.01743,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
71,310,0.1597309112548828,0,15.27,25.84,0.006564,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
75,315,0.17005586624145508,2,26.63,62.68,0.01105,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
67,290,0.11383605003356934,0,17.14,55.09,0.02338,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
116,390,0.1337449550628662,3,10.73,35.31,0.02173,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
90,413,0.15786480903625488,0,13.52,5.761,0.01358,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
110,503,0.17458820343017578,2,9.912,29.92,0.008676,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
77,306,0.190263032913208,1,28.91,88.85,0.00601,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
92,460,0.19392085075378418,3,25.96,24.5,0.007396,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
54,302,0.13997101783752441,0,60.68,134.2,0.06159,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
78,354,0.17559504508972168,0,41.52,61.82,0.03253,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
104,424,0.15772294998168945,2,26.12,50.8,0.02693,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
156,607,0.23790216445922852,3,29.79,62.08,0.01838,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
100,428,0.24092483520507812,1,44.65,98.61,0.01224,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
107,457,0.22139883041381836,3,39.93,84.53,0.02363,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
75,382,0.151292085647583,0,43.98,110.3,0.04892,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
56,382,0.16133499145507812,0,82.72,175.2,0.04793,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
72,402,0.18406414985656738,3,58.84,124.7,0.04254,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
125,546,0.22411227226257324,2,41.02,95.78,0.0352,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
81,428,0.23587679862976074,2,62.23,153.4,0.04016,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
126,517,0.2248399257659912,2,28.23,90.46,0.0316,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
154,721,0.29237985610961914,2,32.88,66.18,0.02858,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
112,514,0.215972900390625,2,39.82,114.4,0.03436,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
77,458,0.21140789985656738,2,97.99,252.8,0.05277,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
120,587,0.261415958404541,2,57.1,152.6,0.04131,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
217,731,0.31685876846313477,3,24.32,62.37,0.01343,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
155,647,0.27591514587402344,2,57.48,155.4,0.05063,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
82,501,0.23329591751098633,2,99.23,216.6,0.078,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
162,664,0.30565524101257324,1,42.97,128.1,0.03215,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
252,971,0.3700380325317383,3,45.5,47.97,0.008019,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
90,532,0.273622989654541,3,55.62,162.6,0.05731,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
158,690,0.2852308750152588,0,50.39,116.2,0.04081,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
145,674,0.33255982398986816,0,49.73,106.0,0.02219,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
144,720,0.2548558712005615,1,39.79,117.0,0.03579,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
141,695,0.3263590335845947,0,59.13,104.3,0.04588,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
171,769,0.32008790969848633,1,36.13,115.8,0.05095,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
159,785,0.3332040309906006,3,46.42,118.2,0.04189,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
274,962,0.41629481315612793,2,67.11,166.8,0.01376,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
165,733,0.3041510581970215,2,80.82,198.5,0.05909,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
195,807,0.33699584007263184,3,86.31,211.8,0.04705,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
123,681,0.40743398666381836,1,89.57,192.6,0.03084,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
283,1090,0.4238882064819336,1,38.2,66.86,0.01584,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
190,805,0.39897608757019043,0,75.98,197.4,0.01873,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
157,749,0.3807668685913086,1,73.26,189.6,0.04262,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
